sector,code,company
에너지,096770,SK이노베이션
에너지,010950,S-Oil
에너지,078930,GS
에너지,067630,에이치엘비생명과학
에너지,006120,SK디스커버리
에너지,002960,한국쉘석유
에너지,091090,세원셀론텍
에너지,112240,에스에프씨
에너지,011930,신성이엔지
에너지,128820,대성산업
에너지,043200,파루
에너지,003650,미창석유
에너지,099220,SDN
에너지,014530,극동유화
에너지,095910,에스에너지
에너지,056730,포스링크
에너지,043220,에이치엘비파워
에너지,060900,케이알피앤이
에너지,103130,웅진에너지
에너지,065420,에스아이리소스
에너지,024060,흥구석유
에너지,038620,위즈코프
에너지,137950,제이씨케미칼
에너지,093230,이아이디
에너지,000440,중앙에너비스
소재,005490,POSCO
소재,051910,LG화학
소재,011170,롯데케미칼
소재,004020,현대제철
소재,010130,고려아연
소재,009830,한화케미칼
소재,010060,OCI
소재,011780,금호석유
소재,003670,포스코케미칼
소재,000880,한화
소재,120110,코오롱인더
소재,004000,롯데정밀화학
소재,011790,SKC
소재,014680,한솔케미칼
소재,005690,파미셀
소재,086520,에코프로
소재,004800,효성
소재,001230,동국제강
소재,006650,대한유화
소재,103140,풍산
소재,285130,SK케미칼
소재,003240,태광산업
소재,069260,휴켐스
소재,178920,SKC코오롱PI
소재,093370,후성
소재,115390,락앤락
소재,004430,송원산업
소재,298050,효성첨단소재
소재,213500,한솔제지
소재,298000,효성화학
소재,025860,남해화학
소재,006840,AK홀딩스
소재,005070,코스모신소재
소재,001430,세아베스틸
소재,014830,유니드
소재,007690,국도화학
소재,002020,코오롱
소재,009520,포스코엠텍
소재,006380,카프로
소재,065620,제낙스
소재,005420,코스모화학
소재,161000,애경유화
소재,002240,고려제강
소재,104830,원익머트리얼즈
소재,008970,동양철관
소재,081000,일진다이아
소재,012610,경인양행
소재,002810,삼영무역
소재,004150,한솔홀딩스
소재,002310,아세아제지
소재,102710,이엔에프테크놀로지
소재,014820,동원시스템즈
소재,016590,신대양제지
소재,009580,무림P&P
소재,005810,풍산홀딩스
소재,102260,동성코퍼레이션
소재,008730,율촌화학
소재,001390,KG케미칼
소재,089980,상아프론테크
소재,104700,한국철강
소재,002030,아세아
소재,115960,연우
소재,009730,코센
소재,121600,나노신소재
소재,104480,티케이케미칼
소재,079980,휴비스
소재,000970,한국주철관
소재,009460,한창제지
소재,001780,알루코
소재,069460,대호에이엘
소재,011280,태림포장
소재,306200,세아제강
소재,091970,나노캠텍
소재,000180,성창기업지주
소재,017890,한국알콜
소재,025000,KPX케미칼
소재,001940,KISCO홀딩스
소재,002360,SH에너지화학
소재,010040,한국내화
소재,004560,현대비앤지스틸
소재,005950,이수화학
소재,002100,경농
소재,003030,세아제강지주
소재,268280,미원에스씨
소재,078130,국일제지
소재,251370,와이엠티
소재,048470,대동스틸
소재,290380,대유
소재,138490,코오롱플라스틱
소재,014160,대영포장
소재,032560,황금에스티
소재,272550,삼양패키징
소재,084010,대한제강
소재,014190,원익큐브
소재,005160,동국산업
소재,000480,조선내화
소재,004890,동일산업
소재,021040,대호피앤씨
소재,015890,태경산업
소재,009200,무림페이퍼
소재,001340,백광산업
소재,004250,NPC
소재,089010,켐트로닉스
소재,036670,KCI
소재,222420,쎄노텍
소재,081150,티플랙스
소재,002300,한국제지
소재,058430,포스코강판
소재,055490,테이팩스
소재,023600,삼보판지
소재,100250,진양홀딩스
소재,005010,휴스틸
소재,187790,나노
소재,002840,미원상사
소재,092230,KPX홀딩스
소재,007590,동방아그로
소재,001550,조비
