,period,price,volume,ratio
0,2016-01-02,1700.0,210772.0,0.19569
1,2016-01-03,1700.0,210772.0,0.2516
2,2016-01-04,1730.0,244519.0,0.13978
3,2016-01-08,1670.0,321712.0,0.16773
4,2016-01-09,1670.0,321712.0,0.19569
5,2016-01-10,1670.0,321712.0,0.22365
6,2016-01-11,1640.0,173337.0,0.19569
7,2016-01-12,1615.0,172327.0,0.30751999999999996
8,2016-01-14,1880.0,1522415.0,0.13978
9,2016-01-15,1825.0,494325.0,0.16773
10,2016-01-16,1825.0,494325.0,0.16773
11,2016-01-17,1825.0,494325.0,0.19569
12,2016-01-20,1710.0,377129.0,0.22365
13,2016-01-21,1650.0,257360.0,0.30751999999999996
14,2016-01-23,1655.0,217071.0,0.13978
15,2016-01-24,1655.0,217071.0,0.22365
16,2016-01-26,1665.0,85224.0,0.2516
17,2016-01-27,1680.0,123157.0,0.13978
18,2016-01-28,1665.0,158590.0,0.19569
19,2016-01-30,1605.0,208237.0,0.27956
20,2016-01-31,1605.0,208237.0,0.30751999999999996
21,2016-02-04,1590.0,359092.0,0.13978
22,2016-02-06,1550.0,150633.0,0.27956
23,2016-02-08,1550.0,150633.0,0.2516
24,2016-02-09,1550.0,150633.0,0.16773
25,2016-02-10,1550.0,150633.0,0.2516
26,2016-02-12,1485.0,380467.0,0.13978
27,2016-02-13,1485.0,380467.0,0.16773
28,2016-02-14,1485.0,380467.0,0.13978
29,2016-02-15,1510.0,312585.0,0.22365
30,2016-02-16,1525.0,151182.0,0.4473
31,2016-02-17,1615.0,1527801.0,0.16773
32,2016-02-18,1700.0,564757.0,0.16773
33,2016-02-21,1760.0,309947.0,0.19569
34,2016-02-23,1710.0,200885.0,0.22365
35,2016-02-25,1650.0,354879.0,0.22365
36,2016-02-26,1590.0,312982.0,0.33547
37,2016-02-28,1590.0,312982.0,0.22365
38,2016-02-29,1590.0,193871.0,0.13978
39,2016-03-03,1700.0,167934.0,0.16773
40,2016-03-04,1755.0,291437.0,0.13978
41,2016-03-05,1755.0,291437.0,0.19569
42,2016-03-06,1755.0,291437.0,0.2516
43,2016-03-08,1855.0,381968.0,0.27956
44,2016-03-10,1830.0,262316.0,0.27956
45,2016-03-11,1835.0,140324.0,0.16773
46,2016-03-13,1835.0,140324.0,0.13978
47,2016-03-14,1810.0,147468.0,0.13978
48,2016-03-16,1850.0,387875.0,0.16773
49,2016-03-20,1990.0,654655.0,0.13978
50,2016-03-22,1900.0,297983.0,0.13978
51,2016-03-23,1850.0,636145.0,0.30751999999999996
52,2016-03-24,1860.0,323775.0,0.36343000000000003
53,2016-03-25,1855.0,300772.0,0.27956
54,2016-03-27,1855.0,300772.0,0.16773
55,2016-03-28,1805.0,595248.0,0.16773
56,2016-03-29,1870.0,396143.0,0.19569
57,2016-03-31,1865.0,125459.0,0.19569
58,2016-04-03,1950.0,2208319.0,0.2516
59,2016-04-04,1895.0,1242791.0,0.19569
60,2016-04-05,1965.0,409127.0,0.19569
61,2016-04-08,1940.0,819131.0,0.22365
62,2016-04-11,1920.0,477855.0,0.27956
63,2016-04-13,1990.0,2179686.0,0.19569
64,2016-04-14,2010.0,1440334.0,0.13978
65,2016-04-15,1975.0,748194.0,0.13978
66,2016-04-20,1910.0,400562.0,0.16773
67,2016-04-21,1905.0,269750.0,0.19569
68,2016-04-22,1915.0,404904.0,0.16773
69,2016-04-24,1915.0,404904.0,0.16773
70,2016-04-25,1880.0,299651.0,0.22365
71,2016-04-26,1895.0,343052.0,0.36343000000000003
72,2016-04-27,1910.0,236843.0,0.33547
73,2016-04-29,1910.0,753978.0,0.2516
74,2016-04-30,1910.0,753978.0,0.13978
75,2016-05-01,1910.0,753978.0,0.13978
76,2016-05-03,1925.0,336048.0,0.13978
77,2016-05-05,1900.0,368867.0,0.13978
78,2016-05-06,1900.0,368867.0,0.13978
79,2016-05-07,1900.0,368867.0,0.22365
80,2016-05-08,1900.0,368867.0,0.19569
81,2016-05-12,1930.0,237196.0,0.19569
82,2016-05-13,1900.0,417626.0,0.22365
83,2016-05-17,1845.0,407284.0,0.19569
84,2016-05-18,1820.0,349381.0,0.16773
85,2016-05-21,1825.0,340016.0,0.16773
86,2016-05-22,1825.0,340016.0,0.2516
87,2016-05-23,1840.0,258632.0,0.19569
88,2016-05-24,1840.0,175668.0,0.13978
89,2016-05-25,1795.0,203355.0,0.13978
90,2016-05-28,1810.0,230322.0,0.13978
91,2016-05-29,1810.0,230322.0,0.19569
92,2016-05-30,1780.0,286578.0,0.13978
93,2016-06-02,1795.0,174190.0,0.30751999999999996
94,2016-06-04,1820.0,321522.0,0.33547
95,2016-06-07,1900.0,536477.0,0.16773
96,2016-06-09,1885.0,367118.0,0.19569
97,2016-06-10,2055.0,2935035.0,0.19569
98,2016-06-11,2055.0,2935035.0,0.16773
99,2016-06-13,2230.0,3105283.0,0.13978
100,2016-06-14,2245.0,1572806.0,0.13978
101,2016-06-15,2250.0,885249.0,0.13978
102,2016-06-16,2120.0,846641.0,0.22365
103,2016-06-18,2165.0,589546.0,0.27956
104,2016-06-21,2265.0,919314.0,0.19569
105,2016-06-22,2225.0,554516.0,0.16773
106,2016-06-23,2095.0,611942.0,0.16773
107,2016-06-25,1950.0,1122512.0,0.16773
108,2016-06-26,1950.0,1122512.0,0.30751999999999996
109,2016-06-27,2005.0,492078.0,0.19569
110,2016-06-28,2050.0,432865.0,0.22365
111,2016-07-01,2170.0,767860.0,0.13978
112,2016-07-03,2170.0,767860.0,0.36343000000000003
113,2016-07-04,2190.0,384759.0,0.13978
114,2016-07-05,2245.0,880492.0,0.22365
115,2016-07-07,2285.0,331249.0,0.27956
116,2016-07-08,2315.0,761840.0,0.30751999999999996
117,2016-07-09,2315.0,761840.0,0.19569
118,2016-07-11,2295.0,317454.0,0.13978
119,2016-07-12,2180.0,693410.0,0.16773
120,2016-07-14,2305.0,529874.0,0.22365
121,2016-07-15,2395.0,1240442.0,0.16773
122,2016-07-17,2395.0,1240442.0,0.13978
123,2016-07-19,2355.0,1099619.0,0.39138
124,2016-07-20,2335.0,769151.0,0.22365
125,2016-07-21,2390.0,1023012.0,0.22365
126,2016-07-22,2360.0,469173.0,0.2516
127,2016-07-23,2360.0,469173.0,0.16773
128,2016-07-27,2320.0,372256.0,0.19569
129,2016-07-30,2395.0,526581.0,0.2516
130,2016-07-31,2395.0,526581.0,0.13978
131,2016-08-01,2390.0,408370.0,0.16773
132,2016-08-02,2425.0,554084.0,0.2516
133,2016-08-03,2410.0,798456.0,0.2516
134,2016-08-04,2390.0,362318.0,0.39138
135,2016-08-05,2325.0,414855.0,0.19569
136,2016-08-07,2325.0,414855.0,0.16773
137,2016-08-08,2305.0,330825.0,0.22365
138,2016-08-09,2405.0,552362.0,0.27956
139,2016-08-10,2415.0,367186.0,0.22365
140,2016-08-11,2580.0,2561671.0,0.13978
141,2016-08-14,2650.0,3175131.0,0.33547
142,2016-08-15,2650.0,3175131.0,0.30751999999999996
143,2016-08-17,2575.0,952860.0,0.19569
144,2016-08-18,2575.0,821372.0,0.16773
145,2016-08-20,2610.0,477137.0,0.36343000000000003
146,2016-08-21,2610.0,477137.0,0.2516
147,2016-08-22,2525.0,579773.0,0.16773
148,2016-08-23,2565.0,585076.0,0.22365
149,2016-08-24,2525.0,629420.0,0.13978
150,2016-08-25,2400.0,883081.0,0.19569
151,2016-08-26,2310.0,1035018.0,0.2516
152,2016-08-29,2135.0,1274835.0,0.13978
153,2016-08-30,2200.0,985564.0,0.36343000000000003
154,2016-08-31,2110.0,550008.0,0.39138
155,2016-09-03,2190.0,645444.0,0.19569
156,2016-09-06,2025.0,836028.0,0.22365
157,2016-09-08,1935.0,740862.0,0.16773
158,2016-09-09,1905.0,593354.0,0.16773
159,2016-09-11,1905.0,593354.0,0.13978
160,2016-09-14,1965.0,1656181.0,0.16773
161,2016-09-15,1965.0,1656181.0,0.27956
162,2016-09-16,1965.0,1656181.0,0.27956
163,2016-09-17,1965.0,1656181.0,0.36343000000000003
164,2016-09-19,1930.0,509897.0,0.13978
165,2016-09-20,1785.0,1657772.0,0.41934
166,2016-09-21,1810.0,543634.0,0.22365
167,2016-09-22,1865.0,512258.0,0.16773
168,2016-09-23,1930.0,808682.0,0.19569
169,2016-09-24,1930.0,808682.0,0.2516
170,2016-09-26,1895.0,1209743.0,0.30751999999999996
171,2016-10-01,1855.0,788213.0,0.16773
172,2016-10-02,1855.0,788213.0,0.22365
173,2016-10-04,1865.0,288773.0,0.19569
174,2016-10-05,1850.0,517740.0,0.16773
175,2016-10-08,1820.0,324751.0,0.30751999999999996
176,2016-10-09,1820.0,324751.0,0.13978
177,2016-10-11,1790.0,461263.0,0.16773
178,2016-10-13,1770.0,519691.0,0.13978
179,2016-10-14,1770.0,638453.0,0.19569
180,2016-10-15,1770.0,638453.0,0.22365
181,2016-10-16,1770.0,638453.0,0.16773
182,2016-10-17,1760.0,667386.0,0.13978
183,2016-10-19,1715.0,612747.0,0.16773
184,2016-10-21,1710.0,176193.0,0.2516
185,2016-10-22,1710.0,176193.0,0.16773
186,2016-10-23,1710.0,176193.0,0.33547
187,2016-10-24,1655.0,230491.0,0.4473
188,2016-10-26,1635.0,288815.0,0.2516
189,2016-10-27,1650.0,127760.0,0.16773
190,2016-10-28,1645.0,125442.0,0.16773
