period,price,volume,ratio
2016-01-04,3650.0,29025.0,4.445869999999999
2016-01-05,3700.0,44730.0,5.219069999999999
2016-01-06,3750.0,54185.0,5.97079
2016-01-07,3590.0,137640.0,5.8634
2016-01-08,3520.0,42956.0,5.26202
2016-01-11,3495.0,19301.0,3.97336
2016-01-12,3545.0,21066.0,4.59621
2016-01-13,3450.0,139708.0,4.9398599999999995
2016-01-14,3750.0,271547.0,8.95618
2016-01-15,4005.0,219843.0,7.624569999999999
2016-01-18,4060.0,80917.0,9.49312
2016-01-19,4475.0,326262.0,15.700170000000002
2016-01-20,4390.0,140866.0,11.9201
2016-01-21,4260.0,39625.0,9.128
2016-01-22,4260.0,31812.0,7.3024
2016-01-25,4190.0,45856.0,7.25945
2016-01-26,4140.0,30856.0,7.25945
2016-01-27,4080.0,24050.0,6.59364
2016-01-28,4090.0,40569.0,5.41237
2016-01-29,4110.0,25202.0,4.6176900000000005
2016-02-01,4040.0,36648.0,6.40034
2016-02-02,4370.0,341164.0,13.14432
2016-02-03,4260.0,50746.0,7.90378
2016-02-04,4330.0,54276.0,8.7414
2016-02-05,4485.0,69263.0,7.36683
2016-02-11,4050.0,155494.0,8.09707
2016-02-12,3805.0,88736.0,8.05412
2016-02-15,3980.0,14223.0,7.1520600000000005
2016-02-16,3960.0,16543.0,7.06615
2016-02-17,3950.0,33478.0,6.57216
2016-02-18,4290.0,71640.0,8.09707
2016-02-19,4400.0,55285.0,7.79639
2016-02-22,4580.0,92878.0,9.3213
2016-02-23,4535.0,30956.0,9.62199
2016-02-24,4845.0,123848.0,9.27835
2016-02-25,5170.0,222022.0,14.60481
2016-02-26,5200.0,100249.0,9.858239999999999
2016-02-29,5500.0,149326.0,11.79123
2016-03-02,5440.0,88067.0,10.33075
2016-03-03,5150.0,253474.0,10.93213
2016-03-04,5070.0,25137.0,9.128
2016-03-07,4865.0,53934.0,8.9347
2016-03-08,4875.0,34696.0,7.753430000000001
2016-03-09,5360.0,362986.0,13.831610000000001
2016-03-10,5360.0,223434.0,9.471639999999999
2016-03-11,5360.0,97344.0,8.87027
2016-03-14,5290.0,87741.0,8.46219
2016-03-15,5100.0,38519.0,7.388310000000001
2016-03-16,5100.0,57088.0,7.02319
2016-03-17,5100.0,53255.0,7.02319
2016-03-18,5100.0,43156.0,7.28092
2016-03-21,4905.0,104552.0,7.624569999999999
2016-03-22,4835.0,23398.0,6.765460000000001
2016-03-23,4800.0,37471.0,5.79896
2016-03-24,4780.0,34175.0,6.87285
2016-03-25,4970.0,44281.0,6.27147
2016-03-28,4845.0,38193.0,6.12113
