period,ratio
2016-01-01,0.07918
2016-01-02,0.07772
2016-01-03,0.09825
2016-01-04,0.12758
2016-01-05,0.12464
2016-01-06,0.25956
2016-01-07,0.1877
2016-01-08,0.17157
2016-01-09,0.09678
2016-01-10,0.08798
2016-01-11,0.19943
2016-01-12,0.14078
2016-01-13,0.14518
2016-01-14,0.14371
2016-01-15,0.13784
2016-01-16,0.10265
2016-01-17,0.07918
2016-01-18,0.12758
2016-01-19,0.17157
2016-01-20,0.10265
2016-01-21,0.10558
2016-01-22,0.09238
2016-01-23,0.06892
2016-01-24,0.09238
2016-01-25,0.17597
2016-01-26,0.12318
2016-01-27,0.14371
2016-01-28,0.15251
2016-01-29,0.12025
2016-01-30,0.05572
2016-01-31,0.11731
2016-02-01,0.10851
2016-02-02,0.11878
2016-02-03,0.11438
2016-02-04,0.17744
2016-02-05,0.18917
2016-02-06,0.09092
2016-02-07,0.08652
2016-02-08,0.09385
2016-02-09,0.06745
2016-02-10,0.08945
2016-02-11,0.2097
2016-02-12,0.18477
2016-02-13,0.07625
2016-02-14,0.08798
2016-02-15,0.13638
2016-02-16,0.1877
2016-02-17,0.1965
2016-02-18,0.19797
2016-02-19,0.18037
2016-02-20,0.10998
2016-02-21,0.07478
2016-02-22,0.15837
2016-02-23,0.25076
2016-02-24,0.1877
2016-02-25,0.13638
2016-02-26,0.13344
2016-02-27,0.09678
2016-02-28,0.08652
2016-02-29,0.14811
2016-03-01,0.07332
2016-03-02,0.14078
2016-03-03,0.12611
2016-03-04,0.13051
2016-03-05,0.07625
2016-03-06,0.08212
2016-03-07,0.16717
2016-03-08,0.21117
2016-03-09,0.17304
2016-03-10,0.14078
2016-03-11,0.14371
2016-03-12,0.09385
2016-03-13,0.07918
2016-03-14,0.17744
2016-03-15,0.16717
2016-03-16,0.14811
2016-03-17,0.16131
2016-03-18,0.14371
2016-03-19,0.10851
2016-03-20,0.10118
2016-03-21,0.27716
2016-03-22,0.2405
2016-03-23,0.11438
2016-03-24,0.23023
2016-03-25,0.17011
2016-03-26,0.11731
2016-03-27,0.07039
2016-03-28,0.2009
2016-03-29,0.17744
2016-03-30,0.26689
2016-03-31,0.21703
2016-04-01,0.12758
2016-04-02,0.07039
2016-04-03,0.06745
2016-04-04,0.18184
2016-04-05,0.17157
2016-04-06,0.15251
2016-04-07,0.12904
2016-04-08,0.12318
2016-04-09,0.10265
2016-04-10,0.07185
2016-04-11,0.09825
2016-04-12,0.16131
2016-04-13,0.07185
2016-04-14,0.19357
2016-04-15,0.17744
2016-04-16,0.09092
2016-04-17,0.06745
2016-04-18,0.15104
2016-04-19,0.15104
2016-04-20,0.12611
2016-04-21,0.12464
2016-04-22,0.10705
2016-04-23,0.07918
2016-04-24,0.05719
2016-04-25,0.15397
2016-04-26,0.10118
2016-04-27,0.10851
2016-04-28,0.13784
2016-04-29,0.08798
2016-04-30,0.08065
2016-05-01,0.07772
2016-05-02,0.11878
2016-05-03,0.18184
2016-05-04,0.14811
2016-05-05,0.06599
2016-05-06,0.07772
2016-05-07,0.04839
2016-05-08,0.05865
2016-05-09,0.1877
2016-05-10,0.16717
2016-05-11,0.19064
2016-05-12,0.15251
2016-05-13,0.12904
2016-05-14,0.07625
2016-05-15,0.07332
2016-05-16,0.08505
2016-05-17,0.14078
2016-05-18,0.12318
2016-05-19,0.15984
2016-05-20,0.12611
2016-05-21,0.06599
2016-05-22,0.07625
2016-05-23,0.11438
2016-05-24,0.13051
2016-05-25,0.14811
2016-05-26,0.10705
2016-05-27,0.09092
2016-05-28,0.06305
2016-05-29,0.07332
2016-05-30,0.15104
2016-05-31,0.12171
2016-06-01,0.13198
2016-06-02,0.15397
2016-06-03,0.15397
2016-06-04,0.07185
2016-06-05,0.05865
2016-06-06,0.08945
2016-06-07,0.14811
2016-06-08,0.16571
2016-06-09,0.10265
2016-06-10,0.12318
2016-06-11,0.07185
2016-06-12,0.08652
2016-06-13,0.15544
2016-06-14,0.10265
2016-06-15,0.10265
2016-06-16,0.07625
2016-06-17,0.09385
2016-06-18,0.07772
2016-06-19,0.07185
2016-06-20,0.11731
2016-06-21,0.12464
2016-06-22,0.11878
2016-06-23,0.11878
2016-06-24,0.19064
2016-06-25,0.07039
2016-06-26,0.05719
2016-06-27,0.16277
2016-06-28,0.14664
2016-06-29,0.12025
2016-06-30,0.10558
2016-07-01,0.10558
2016-07-02,0.04839
2016-07-03,0.08798
2016-07-04,0.13344
2016-07-05,0.14224
2016-07-06,0.13344
2016-07-07,0.09385
2016-07-08,0.10851
2016-07-09,0.08358
2016-07-10,0.07185
2016-07-11,0.14664
2016-07-12,0.16571
2016-07-13,0.14371
2016-07-14,0.12171
2016-07-15,0.12171
2016-07-16,0.08212
2016-07-17,0.05572
2016-07-18,0.14078
2016-07-19,0.13784
2016-07-20,0.13344
2016-07-21,0.09532
2016-07-22,0.09238
2016-07-23,0.04692
2016-07-24,0.04692
2016-07-25,0.13198
2016-07-26,0.14371
2016-07-27,0.13638
2016-07-28,0.13638
2016-07-29,0.11878
2016-07-30,0.07772
2016-07-31,0.08358
2016-08-01,0.13051
2016-08-02,0.26689
2016-08-03,0.18477
2016-08-04,0.15691
2016-08-05,0.29915
2016-08-06,0.11438
2016-08-07,0.07478
2016-08-08,0.2053
2016-08-09,0.1921
2016-08-10,0.15837
2016-08-11,0.12904
2016-08-12,0.16424
2016-08-13,0.04839
2016-08-14,0.04252
2016-08-15,0.05425
2016-08-16,0.11585
2016-08-17,0.12464
2016-08-18,0.09971
2016-08-19,0.09092
2016-08-20,0.05719
2016-08-21,0.04252
2016-08-22,0.09238
2016-08-23,0.12904
2016-08-24,0.11291
2016-08-25,0.13051
2016-08-26,0.08505
2016-08-27,0.05719
2016-08-28,0.04839
2016-08-29,0.09678
2016-08-30,0.08945
2016-08-31,0.10265
2016-09-01,0.10705
2016-09-02,0.08652
2016-09-03,0.03666
2016-09-04,0.05425
2016-09-05,0.14957
2016-09-06,0.12171
2016-09-07,0.11291
2016-09-08,0.13931
2016-09-09,0.10558
2016-09-10,0.07918
2016-09-11,0.04985
2016-09-12,0.13198
2016-09-13,0.05132
2016-09-14,0.05132
2016-09-15,0.05279
2016-09-16,0.05132
2016-09-17,0.07772
2016-09-18,0.05865
2016-09-19,0.10998
2016-09-20,0.13638
2016-09-21,0.14811
2016-09-22,0.14957
2016-09-23,0.16717
2016-09-24,0.10411
2016-09-25,0.10118
2016-09-26,0.27276
2016-09-27,0.16131
2016-09-28,0.1745
2016-09-29,0.14078
2016-09-30,0.10558
2016-10-01,0.05425
2016-10-02,0.06599
2016-10-03,0.05865
2016-10-04,0.12171
2016-10-05,0.11145
2016-10-06,0.07918
2016-10-07,0.07185
2016-10-08,0.07478
2016-10-09,0.21263
2016-10-10,0.14078
2016-10-11,0.14224
2016-10-12,0.12758
2016-10-13,0.11291
2016-10-14,0.18917
2016-10-15,0.08652
2016-10-16,0.07478
2016-10-17,0.17011
2016-10-18,0.14224
2016-10-19,0.11731
2016-10-20,0.10558
2016-10-21,0.09385
2016-10-22,0.06159
2016-10-23,0.04985
2016-10-24,0.09825
2016-10-25,0.10411
2016-10-26,0.09092
2016-10-27,0.09825
2016-10-28,0.07039
2016-10-29,0.05572
2016-10-30,0.04399
2016-10-31,0.09238
2016-11-01,0.10118
2016-11-02,0.15984
2016-11-03,0.12318
2016-11-04,0.17011
2016-11-05,0.08212
2016-11-06,0.03226
2016-11-07,0.13491
2016-11-08,0.12904
2016-11-09,0.18037
2016-11-10,0.19357
2016-11-11,0.19797
2016-11-12,0.11145
2016-11-13,0.09092
2016-11-14,0.16424
2016-11-15,0.18624
2016-11-16,0.16424
2016-11-17,0.18624
2016-11-18,0.11878
2016-11-19,0.08505
2016-11-20,0.08212
2016-11-21,0.2185
2016-11-22,0.26689
2016-11-23,0.21263
2016-11-24,0.26689
2016-11-25,0.17597
2016-11-26,0.05572
2016-11-27,0.05572
2016-11-28,0.20237
2016-11-29,0.15691
2016-11-30,0.19943
2016-12-01,0.15251
2016-12-02,0.12318
2016-12-03,0.06892
2016-12-04,0.07185
2016-12-05,0.13198
2016-12-06,0.15104
2016-12-07,0.1789
2016-12-08,0.19943
2016-12-09,0.16717
2016-12-10,0.11731
2016-12-11,0.07478
2016-12-12,0.21263
2016-12-13,0.1921
2016-12-14,0.19797
2016-12-15,0.23023
2016-12-16,0.34022
2016-12-17,0.10411
2016-12-18,0.09092
2016-12-19,0.31382
2016-12-20,0.28156
2016-12-21,0.20237
2016-12-22,0.17011
2016-12-23,0.15104
2016-12-24,0.05572
2016-12-25,0.04985
2016-12-26,0.14664
2016-12-27,0.19064
2016-12-28,0.2317
2016-12-29,0.1745
2016-12-30,0.09678
2016-12-31,0.07039
2017-01-01,0.08945
2017-01-02,0.27569
2017-01-03,0.2273
2017-01-04,0.2317
2017-01-05,0.25956
2017-01-06,0.2317
2017-01-07,0.06892
2017-01-08,0.06159
2017-01-09,0.14518
2017-01-10,0.20237
2017-01-11,0.21263
2017-01-12,0.22436
2017-01-13,0.2405
2017-01-14,0.09238
2017-01-15,0.09532
2017-01-16,0.1745
2017-01-17,0.21263
2017-01-18,0.26543
2017-01-19,0.62911
2017-01-20,0.43407
2017-01-21,0.15544
2017-01-22,0.15691
2017-01-23,0.37541
2017-01-24,0.37834
2017-01-25,0.34608
2017-01-26,0.32115
2017-01-27,0.09385
2017-01-28,0.10705
2017-01-29,0.08798
2017-01-30,0.10998
2017-01-31,0.23756
2017-02-01,0.25223
2017-02-02,0.30649
2017-02-03,0.25223
2017-02-04,0.05719
2017-02-05,0.10411
2017-02-06,0.30355
2017-02-07,0.33288
2017-02-08,0.42967
2017-02-09,0.38274
2017-02-10,0.30502
2017-02-11,0.11878
2017-02-12,0.11145
2017-02-13,0.29036
2017-02-14,0.25076
2017-02-15,0.21703
2017-02-16,0.19357
2017-02-17,0.22583
2017-02-18,0.05719
2017-02-19,0.10411
2017-02-20,0.2097
2017-02-21,0.21703
2017-02-22,0.25223
2017-02-23,0.24196
2017-02-24,0.2317
2017-02-25,0.07772
2017-02-26,0.07478
2017-02-27,0.39594
2017-02-28,0.25223
2017-03-01,0.07625
2017-03-02,0.26103
2017-03-03,0.28009
2017-03-04,0.10998
2017-03-05,0.06892
2017-03-06,0.29769
2017-03-07,0.31235
2017-03-08,0.30649
2017-03-09,0.27862
2017-03-10,0.40621
2017-03-11,0.09971
2017-03-12,0.09971
2017-03-13,0.28156
2017-03-14,0.33728
2017-03-15,0.29769
2017-03-16,0.36221
2017-03-17,0.24343
2017-03-18,0.05425
2017-03-19,0.05865
2017-03-20,0.28009
2017-03-21,0.38421
2017-03-22,0.36808
2017-03-23,0.40474
2017-03-24,0.31529
2017-03-25,0.07918
2017-03-26,0.09385
2017-03-27,0.30355
2017-03-28,0.29476
2017-03-29,0.27569
2017-03-30,0.23756
2017-03-31,0.2361
2017-04-01,0.07772
2017-04-02,0.06892
2017-04-03,0.24196
2017-04-04,0.2273
2017-04-05,0.29182
2017-04-06,0.2273
2017-04-07,0.28742
2017-04-08,0.10705
2017-04-09,0.09825
2017-04-10,0.26689
2017-04-11,0.2141
2017-04-12,0.26103
2017-04-13,0.31675
2017-04-14,0.27569
2017-04-15,0.12318
2017-04-16,0.06745
2017-04-17,0.27422
2017-04-18,0.33582
2017-04-19,0.31969
2017-04-20,0.24783
2017-04-21,0.34462
2017-04-22,0.12464
2017-04-23,0.09092
2017-04-24,0.32848
2017-04-25,0.32408
2017-04-26,0.41061
2017-04-27,0.30062
2017-04-28,0.35781
2017-04-29,0.09971
2017-04-30,0.07039
2017-05-01,0.11291
2017-05-02,0.32995
2017-05-03,0.13198
2017-05-04,0.26983
2017-05-05,0.07039
2017-05-06,0.08358
2017-05-07,0.11291
2017-05-08,0.35048
2017-05-09,0.11731
2017-05-10,0.31089
2017-05-11,0.37101
2017-05-12,0.42234
2017-05-13,0.10558
2017-05-14,0.10851
2017-05-15,0.27129
2017-05-16,0.34755
2017-05-17,0.31089
2017-05-18,0.27716
2017-05-19,0.27716
2017-05-20,0.10998
2017-05-21,0.12904
2017-05-22,0.40034
2017-05-23,0.31235
2017-05-24,0.31675
2017-05-25,0.32995
2017-05-26,0.43407
2017-05-27,0.13784
2017-05-28,0.12025
2017-05-29,0.36221
2017-05-30,0.34901
2017-05-31,0.31089
2017-06-01,0.35488
2017-06-02,0.32995
2017-06-03,0.11731
2017-06-04,0.07625
2017-06-05,0.34315
2017-06-06,0.11438
2017-06-07,0.36368
2017-06-08,0.39741
2017-06-09,0.37394
2017-06-10,0.12464
2017-06-11,0.09825
2017-06-12,0.33142
2017-06-13,0.45607
2017-06-14,0.48833
2017-06-15,0.50446
2017-06-16,0.46047
2017-06-17,0.11291
2017-06-18,0.08798
2017-06-19,0.50886
2017-06-20,0.4282
2017-06-21,0.38714
2017-06-22,0.37981
2017-06-23,0.44434
2017-06-24,0.11438
2017-06-25,0.08945
2017-06-26,0.41794
2017-06-27,0.43554
2017-06-28,0.38421
2017-06-29,0.41647
2017-06-30,0.30209
2017-07-01,0.10558
2017-07-02,0.06452
2017-07-03,0.38128
2017-07-04,0.35488
2017-07-05,0.38714
2017-07-06,0.31969
2017-07-07,0.437
2017-07-08,0.08652
2017-07-09,0.12318
2017-07-10,0.34462
2017-07-11,0.4282
2017-07-12,0.36075
2017-07-13,0.4678
2017-07-14,0.34168
2017-07-15,0.10998
2017-07-16,0.10998
2017-07-17,0.42527
2017-07-18,0.50153
2017-07-19,0.52206
2017-07-20,0.52939
2017-07-21,0.4722
2017-07-22,0.10705
2017-07-23,0.12171
2017-07-24,0.43554
2017-07-25,0.53379
2017-07-26,0.78896
2017-07-27,0.49566
2017-07-28,0.45313
2017-07-29,0.10411
2017-07-30,0.12758
2017-07-31,0.39741
2017-08-01,0.46633
2017-08-02,0.34901
2017-08-03,0.35781
2017-08-04,0.31675
2017-08-05,0.09238
2017-08-06,0.09385
2017-08-07,0.39301
2017-08-08,0.63938
2017-08-09,0.39301
2017-08-10,0.36955
2017-08-11,0.33435
2017-08-12,0.10705
2017-08-13,0.07478
2017-08-14,0.26396
2017-08-15,0.09532
2017-08-16,0.35048
2017-08-17,0.36075
2017-08-18,0.28889
2017-08-19,0.07625
2017-08-20,0.09532
2017-08-21,0.33288
2017-08-22,0.28742
2017-08-23,0.26689
2017-08-24,0.34608
2017-08-25,0.33875
2017-08-26,0.07772
2017-08-27,0.08505
2017-08-28,0.30942
2017-08-29,0.30209
2017-08-30,0.29769
2017-08-31,0.30062
2017-09-01,0.28449
2017-09-02,0.06892
2017-09-03,0.08358
2017-09-04,0.26543
2017-09-05,0.24929
2017-09-06,0.33288
2017-09-07,0.35635
2017-09-08,0.33435
2017-09-09,0.08798
2017-09-10,0.11731
2017-09-11,0.29182
2017-09-12,0.31382
2017-09-13,0.35341
2017-09-14,0.31529
2017-09-15,0.30942
2017-09-16,0.12611
2017-09-17,0.11438
2017-09-18,0.44287
2017-09-19,0.41061
2017-09-20,0.29036
2017-09-21,0.27422
2017-09-22,0.26836
2017-09-23,0.10705
2017-09-24,0.08652
2017-09-25,0.28596
2017-09-26,0.26836
2017-09-27,0.26983
2017-09-28,0.23316
2017-09-29,0.2317
2017-09-30,0.06599
2017-10-01,0.07039
2017-10-02,0.07332
2017-10-03,0.06305
2017-10-04,0.05132
2017-10-05,0.06892
2017-10-06,0.07332
2017-10-07,0.05279
2017-10-08,0.07332
2017-10-09,0.08945
2017-10-10,0.26543
2017-10-11,0.27276
2017-10-12,0.32115
2017-10-13,0.39741
2017-10-14,0.09238
2017-10-15,0.10558
2017-10-16,0.28156
2017-10-17,0.28009
2017-10-18,0.32995
2017-10-19,0.40914
2017-10-20,0.26396
2017-10-21,0.08652
2017-10-22,0.11145
2017-10-23,0.24343
2017-10-24,0.23316
2017-10-25,0.19797
2017-10-26,0.23463
2017-10-27,0.25516
2017-10-28,0.06012
2017-10-29,0.07918
2017-10-30,0.26103
2017-10-31,0.27129
2017-11-01,0.25223
2017-11-02,0.23023
2017-11-03,0.2449
2017-11-04,0.07039
2017-11-05,0.07772
2017-11-06,0.38714
2017-11-07,0.36368
2017-11-08,0.38128
2017-11-09,0.31969
2017-11-10,0.31822
2017-11-11,0.08798
2017-11-12,0.12318
2017-11-13,0.50739
2017-11-14,0.36515
2017-11-15,0.40914
2017-11-16,0.36075
2017-11-17,0.42234
2017-11-18,0.09385
2017-11-19,0.10411
2017-11-20,0.31969
2017-11-21,0.31969
2017-11-22,0.24196
2017-11-23,0.32408
2017-11-24,0.42234
2017-11-25,0.09971
