period,price,volume
2015-12-30,14050,87598
2016-01-04,13550,152166
2016-01-05,13450,98385
2016-01-06,13400,107507
2016-01-07,13800,88407
2016-01-08,13700,55258
2016-01-11,13200,108084
2016-01-12,13200,52003
2016-01-13,13500,67589
2016-01-14,13450,46168
2016-01-15,12650,205637
2016-01-18,12200,132508
2016-01-19,12850,82467
2016-01-20,11950,97993
2016-01-21,12200,152040
2016-01-22,12250,112166
2016-01-25,12300,69733
2016-01-26,11900,151548
2016-01-27,11850,77700
2016-01-28,12050,54888
2016-01-29,12100,33582
2016-02-01,11900,69441
2016-02-02,12300,84454
2016-02-03,12650,160492
2016-02-04,12650,101166
2016-02-05,12750,48198
2016-02-11,12750,72077
2016-02-12,11750,163122
2016-02-15,11950,108304
2016-02-16,12100,44312
2016-02-17,12250,54435
2016-02-18,12150,100010
2016-02-19,11700,230429
2016-02-22,11800,209231
2016-02-23,11800,88026
2016-02-24,11650,68587
2016-02-25,11650,81797
2016-02-26,11650,82092
2016-02-29,11300,122245
2016-03-02,11300,106615
2016-03-03,11700,106197
2016-03-04,11800,72612
2016-03-07,11750,80655
2016-03-08,11700,36044
2016-03-09,11700,36172
2016-03-10,11800,42746
2016-03-11,11650,37541
2016-03-14,11650,31702
2016-03-15,11800,81493
2016-03-16,11800,35097
2016-03-17,11800,39579
2016-03-18,11650,64053
2016-03-21,11400,97292
2016-03-22,11400,64491
2016-03-23,11250,105566
2016-03-24,11200,63382
2016-03-25,10900,93491
2016-03-28,10950,53232
2016-03-29,11250,66612
2016-03-30,11250,94094
2016-03-31,11350,53800
2016-04-01,11350,48195
2016-04-04,11600,89674
2016-04-05,11400,45595
2016-04-06,11300,40536
2016-04-07,11450,189666
2016-04-08,11650,62261
2016-04-11,11650,92871
2016-04-12,11600,100989
2016-04-14,11600,69209
2016-04-15,11750,64769
2016-04-18,11650,49864
2016-04-19,12050,162124
2016-04-20,12450,260895
2016-04-21,12300,175530
2016-04-22,12650,168408
2016-04-25,12350,161831
2016-04-26,12100,148242
2016-04-27,12150,75754
2016-04-28,12000,103167
2016-04-29,11950,75410
2016-05-02,11850,67998
2016-05-03,12100,68019
2016-05-04,12050,63262
2016-05-09,11950,61673
2016-05-10,12250,69431
2016-05-11,12200,47803
2016-05-12,12300,49724
2016-05-13,12050,29384
2016-05-16,12000,47900
2016-05-17,12750,190114
2016-05-18,12700,110588
2016-05-19,12250,54584
2016-05-20,12400,36746
2016-05-23,12350,37343
2016-05-24,12350,54895
2016-05-25,12550,51205
2016-05-26,12450,46949
2016-05-27,12900,87885
2016-05-30,12700,103210
2016-05-31,12700,42814
2016-06-01,12700,54737
2016-06-02,12650,45147
2016-06-03,12700,57441
2016-06-07,13050,126648
2016-06-08,12950,145215
2016-06-09,12750,88188
2016-06-10,12650,42894
2016-06-13,12200,101735
2016-06-14,12300,83469
