날짜,종가,전일비,시가,고가,저가,거래량
2016-01-01,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-02,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-03,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-04,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-06,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-09,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-10,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-13,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-14,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-16,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-17,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-18,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-23,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-24,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-30,3310.0,0.0,0.0,0.0,0.0,0.0
2016-01-31,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-06,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-07,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-13,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-14,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-15,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-20,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-21,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-27,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-28,3310.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-02,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-03,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-04,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-05,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-06,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-07,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-08,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-09,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-10,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-11,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-12,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-13,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-14,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-15,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-16,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-17,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-18,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-19,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-20,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-21,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-22,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-23,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-24,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-25,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-26,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-27,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-28,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-29,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-30,3310.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-02,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-03,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-04,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-05,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-06,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-07,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-08,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-09,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-10,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-11,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-12,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-13,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-14,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-15,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-16,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-17,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-18,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-19,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-20,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-21,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-22,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-23,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-24,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-25,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-26,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-27,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-28,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-29,3310.0,0.0,0.0,0.0,0.0,0.0
2016-04-30,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-02,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-03,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-04,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-05,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-06,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-07,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-08,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-09,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-10,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-11,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-12,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-13,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-14,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-15,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-16,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-17,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-18,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-19,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-20,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-21,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-22,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-23,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-24,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-25,3310.0,0.0,0.0,0.0,0.0,0.0
2016-05-26,3150.0,365.0,3515.0,4005.0,3015.0,4542034.0
2016-05-27,2900.0,250.0,2520.0,3175.0,2520.0,3081973.0
2016-05-28,2900.0,250.0,2520.0,3175.0,2520.0,3081973.0
2016-05-29,2900.0,250.0,2520.0,3175.0,2520.0,3081973.0
2016-05-30,2670.0,230.0,2810.0,2965.0,2670.0,840466.0
2016-05-31,2565.0,105.0,2670.0,2765.0,2505.0,509037.0
2016-06-01,2690.0,125.0,2645.0,2970.0,2520.0,1018515.0
2016-06-02,2455.0,235.0,2675.0,2715.0,2350.0,670495.0
2016-06-03,2300.0,155.0,2365.0,2390.0,2150.0,893374.0
2016-06-04,2300.0,155.0,2365.0,2390.0,2150.0,893374.0
2016-06-05,2300.0,155.0,2365.0,2390.0,2150.0,893374.0
2016-06-06,2300.0,155.0,2365.0,2390.0,2150.0,893374.0
2016-06-07,2145.0,155.0,2280.0,2325.0,2135.0,901039.0
2016-06-08,1970.0,175.0,2110.0,2115.0,1915.0,1434963.0
2016-06-09,2180.0,210.0,2020.0,2270.0,1980.0,2125747.0
2016-06-10,2400.0,220.0,2135.0,2740.0,2120.0,3586486.0
2016-06-11,2400.0,220.0,2135.0,2740.0,2120.0,3586486.0
2016-06-12,2400.0,220.0,2135.0,2740.0,2120.0,3586486.0
2016-06-13,2455.0,55.0,2390.0,2535.0,2280.0,963900.0
2016-06-14,2430.0,25.0,2400.0,2445.0,2340.0,352406.0
2016-06-15,2280.0,150.0,2490.0,2490.0,2275.0,479954.0
2016-06-16,2080.0,200.0,2300.0,2335.0,2075.0,723341.0
2016-06-17,2220.0,140.0,2060.0,2225.0,2055.0,471456.0
2016-06-18,2220.0,140.0,2060.0,2225.0,2055.0,471456.0
2016-06-19,2220.0,140.0,2060.0,2225.0,2055.0,471456.0
2016-06-20,2360.0,140.0,2265.0,2465.0,2220.0,715683.0
2016-06-21,2360.0,0.0,2370.0,2395.0,2285.0,518322.0
2016-06-22,2340.0,20.0,2360.0,2430.0,2280.0,337838.0
2016-06-23,2310.0,30.0,2350.0,2385.0,2270.0,225277.0
2016-06-24,2085.0,225.0,2290.0,2310.0,1905.0,1058455.0
2016-06-25,2085.0,225.0,2290.0,2310.0,1905.0,1058455.0
2016-06-26,2085.0,225.0,2290.0,2310.0,1905.0,1058455.0
2016-06-27,2090.0,5.0,2010.0,2170.0,2010.0,297646.0
2016-06-28,2230.0,140.0,2070.0,2280.0,2060.0,349677.0
2016-06-29,2250.0,20.0,2265.0,2400.0,2165.0,636721.0
2016-06-30,2580.0,330.0,2320.0,2725.0,2280.0,3057137.0
2016-07-01,2675.0,95.0,2640.0,2890.0,2535.0,1791447.0
2016-07-02,2675.0,95.0,2640.0,2890.0,2535.0,1791447.0
2016-07-03,2675.0,95.0,2640.0,2890.0,2535.0,1791447.0
2016-07-04,2500.0,175.0,2715.0,2715.0,2465.0,949140.0
2016-07-05,2630.0,130.0,2495.0,2775.0,2465.0,793541.0
2016-07-06,2520.0,110.0,2620.0,2630.0,2490.0,401905.0
2016-07-07,2500.0,20.0,2585.0,2600.0,2455.0,206117.0
2016-07-08,2460.0,40.0,2500.0,2570.0,2380.0,295806.0
2016-07-09,2460.0,40.0,2500.0,2570.0,2380.0,295806.0
2016-07-10,2460.0,40.0,2500.0,2570.0,2380.0,295806.0
2016-07-11,2465.0,5.0,2460.0,2520.0,2425.0,292520.0
2016-07-12,2670.0,205.0,2540.0,2785.0,2490.0,1495983.0
2016-07-13,2810.0,140.0,2700.0,2900.0,2515.0,2212929.0
2016-07-14,2885.0,75.0,2810.0,2985.0,2735.0,1489805.0
2016-07-15,2860.0,25.0,2915.0,2980.0,2770.0,623648.0
2016-07-16,2860.0,25.0,2915.0,2980.0,2770.0,623648.0
2016-07-17,2860.0,25.0,2915.0,2980.0,2770.0,623648.0
2016-07-18,2605.0,255.0,2800.0,2810.0,2590.0,1443857.0
