period,price,volume,ratio
2016-01-04,8000.0,8227.0,1.26719
2016-01-05,7900.0,18128.0,1.34545
2016-01-06,7950.0,12163.0,1.61753
2016-01-07,7900.0,16749.0,1.7256099999999999
2016-01-08,7940.0,5068.0,1.338
2016-01-11,7770.0,8472.0,1.46472
2016-01-12,7820.0,23786.0,1.65107
2016-01-13,7870.0,4731.0,1.59889
2016-01-14,7890.0,1366.0,1.5355299999999998
2016-01-15,7840.0,2078.0,1.39018
2016-01-18,7840.0,8278.0,1.26719
2016-01-19,7800.0,2919.0,1.3491799999999998
2016-01-20,7790.0,11578.0,1.40136
2016-01-21,7750.0,8070.0,1.31564
2016-01-22,7780.0,11486.0,1.2187299999999999
2016-01-25,7870.0,6343.0,1.33427
2016-01-26,7790.0,7176.0,1.31564
2016-01-27,7890.0,4591.0,1.30073
2016-01-28,7970.0,5542.0,1.15165
2016-01-29,8000.0,7082.0,1.17774
2016-02-01,8000.0,4900.0,1.1963700000000002
2016-02-02,8030.0,10687.0,1.0622
2016-02-03,7950.0,5452.0,1.27091
2016-02-04,7930.0,5860.0,1.39763
2016-02-05,7970.0,8687.0,1.8560599999999998
2016-02-11,8020.0,18228.0,1.32682
2016-02-12,8780.0,206429.0,1.3827200000000002
2016-02-15,9470.0,198001.0,1.39018
2016-02-16,9280.0,128347.0,1.23364
2016-02-17,8930.0,60339.0,1.2187299999999999
2016-02-18,9090.0,405510.0,1.27091
2016-02-19,9110.0,107715.0,1.1218299999999999
2016-02-22,8930.0,99356.0,1.21128
2016-02-23,8950.0,44554.0,1.4386299999999999
2016-02-24,8950.0,13148.0,1.09202
2016-02-25,9010.0,39834.0,1.06965
2016-02-26,9200.0,79142.0,1.12929
2016-02-29,9170.0,12104.0,1.05847
2016-03-02,9160.0,57465.0,1.3417299999999999
2016-03-03,9080.0,38512.0,1.46099
2016-03-04,9070.0,18553.0,1.35663
2016-03-07,9320.0,55040.0,1.3230899999999999
2016-03-08,9330.0,23871.0,1.27091
2016-03-09,9540.0,57040.0,1.43118
2016-03-10,10100.0,169994.0,1.4349
2016-03-11,10000.0,57576.0,1.16283
2016-03-14,9950.0,23966.0,1.2299200000000001
2016-03-15,10050.0,39183.0,1.1069200000000001
2016-03-16,10150.0,36648.0,1.18146
2016-03-17,10500.0,99404.0,1.23364
2016-03-18,10500.0,63942.0,1.15537
2016-03-21,10300.0,61723.0,1.1181
2016-03-22,10000.0,67366.0,1.20755
2016-03-23,9870.0,67347.0,1.14047
2016-03-24,10050.0,16178.0,1.12929
2016-03-25,10100.0,18100.0,1.1963700000000002
2016-03-28,10150.0,14482.0,0.9243
2016-03-29,11250.0,314676.0,1.25973
2016-03-30,11550.0,133655.0,1.02493
2016-03-31,11650.0,62350.0,1.17401
2016-04-01,11450.0,69729.0,1.09574
2016-04-04,11900.0,95932.0,1.8187900000000001
2016-04-05,12000.0,50465.0,1.60635
2016-04-06,12200.0,63532.0,1.56535
2016-04-07,12600.0,143962.0,1.71816
2016-04-08,12550.0,103338.0,1.70698
2016-04-11,13350.0,158123.0,1.5951600000000001
2016-04-12,13000.0,67643.0,1.9156900000000001
2016-04-14,12450.0,73136.0,1.8187900000000001
2016-04-15,13150.0,67547.0,1.9865
2016-04-18,12000.0,179415.0,1.41254
2016-04-19,11900.0,163950.0,1.39763
2016-04-20,12350.0,79214.0,1.36409
2016-04-21,12350.0,64357.0,1.84115
2016-04-22,13000.0,53114.0,1.3119100000000001
2016-04-25,12800.0,64807.0,1.69207
2016-04-26,12950.0,42461.0,1.50944
2016-04-27,12800.0,26324.0,1.30073
2016-04-28,12900.0,23689.0,1.73679
2016-04-29,12950.0,29851.0,1.5169
2016-05-02,12900.0,31128.0,1.47217
2016-05-03,12750.0,17474.0,1.66225
2016-05-04,12050.0,143745.0,1.60635
2016-05-09,12100.0,27180.0,1.5951600000000001
2016-05-10,12300.0,31225.0,1.59144
2016-05-11,12300.0,24618.0,1.48335
2016-05-12,12450.0,32206.0,1.54671
2016-05-13,12100.0,40639.0,1.46099
2016-05-16,11900.0,40325.0,1.38645
2016-05-17,11500.0,139231.0,1.34545
2016-05-18,10850.0,111356.0,1.36782
2016-05-19,11000.0,56939.0,1.36782
2016-05-20,11200.0,39486.0,1.0994700000000002
2016-05-23,11150.0,16756.0,1.6883400000000002
2016-05-24,11200.0,33035.0,1.6100700000000001
2016-05-25,11100.0,22695.0,1.6138
2016-05-26,11100.0,42017.0,1.4386299999999999
2016-05-27,10850.0,48210.0,1.56162
2016-05-30,10650.0,62024.0,1.297
2016-05-31,10650.0,84514.0,1.28209
2016-06-01,10700.0,58723.0,1.22619
2016-06-02,11150.0,69346.0,1.28955
2016-06-03,11000.0,28217.0,1.17401
2016-06-07,10950.0,63637.0,1.33055
2016-06-08,10850.0,45038.0,1.28582
2016-06-09,11000.0,60978.0,1.379
