,period,price,volume,ratio
0,2016-01-01,185500.0,7424.0,7.50433
1,2016-01-02,185500.0,7424.0,9.25429
2,2016-01-03,185500.0,7424.0,11.682160000000001
3,2016-01-04,182500.0,4100.0,58.75768000000001
4,2016-01-05,182000.0,4145.0,62.79363000000001
5,2016-01-06,176000.0,16772.0,67.58631
6,2016-01-07,171500.0,14951.0,78.85858
7,2016-01-08,173000.0,17637.0,69.27320999999999
8,2016-01-09,173000.0,17637.0,12.29702
9,2016-01-10,173000.0,17637.0,10.51552
10,2016-01-11,173500.0,2113.0,57.68563
11,2016-01-12,175500.0,3383.0,57.559509999999996
12,2016-01-13,177500.0,3830.0,59.67207
13,2016-01-14,175500.0,2627.0,59.057219999999994
14,2016-01-15,176500.0,4605.0,55.494240000000005
15,2016-01-16,176500.0,4605.0,12.40737
16,2016-01-17,176500.0,4605.0,10.61012
17,2016-01-18,176500.0,6093.0,58.505430000000004
18,2016-01-19,176500.0,4204.0,55.904140000000005
19,2016-01-20,179500.0,4878.0,63.20353000000001
20,2016-01-21,180000.0,3688.0,52.814119999999996
21,2016-01-22,180000.0,5656.0,50.70156
22,2016-01-23,180000.0,5656.0,9.49077
23,2016-01-24,180000.0,5656.0,9.632660000000001
24,2016-01-25,182500.0,5872.0,53.01906999999999
25,2016-01-26,181000.0,3293.0,48.888529999999996
26,2016-01-27,178000.0,2065.0,50.26012
27,2016-01-28,180000.0,2967.0,46.60255
28,2016-01-29,183500.0,2344.0,42.83462
29,2016-01-30,183500.0,2344.0,9.396180000000001
30,2016-01-31,183500.0,2344.0,9.396180000000001
31,2016-02-01,185000.0,2173.0,47.18587
32,2016-02-02,186000.0,5527.0,56.314040000000006
33,2016-02-03,192000.0,8784.0,50.37048
34,2016-02-04,189000.0,7413.0,50.21283
35,2016-02-05,191000.0,2903.0,43.85937
36,2016-02-06,191000.0,2903.0,7.77234
37,2016-02-07,191000.0,2903.0,5.092219999999999
38,2016-02-08,191000.0,2903.0,5.4863599999999995
39,2016-02-09,191000.0,2903.0,5.7386
40,2016-02-10,191000.0,2903.0,8.02459
41,2016-02-11,183000.0,1455.0,53.53933000000001
42,2016-02-12,180000.0,5049.0,92.46413000000001
43,2016-02-13,180000.0,5049.0,18.03562
44,2016-02-14,180000.0,5049.0,13.70014
45,2016-02-15,178000.0,1216.0,73.11997
46,2016-02-16,182000.0,3057.0,68.34305
47,2016-02-17,178000.0,1807.0,82.78416999999999
48,2016-02-18,183500.0,5824.0,79.70991
49,2016-02-19,184000.0,11205.0,67.74396
50,2016-02-20,184000.0,11205.0,13.05376
51,2016-02-21,184000.0,11205.0,11.60334
52,2016-02-22,190000.0,7832.0,66.79804
53,2016-02-23,191500.0,3377.0,68.21693
54,2016-02-24,191500.0,2094.0,64.11792
55,2016-02-25,192000.0,2687.0,59.49865
56,2016-02-26,193500.0,3479.0,54.12265
57,2016-02-27,193500.0,3479.0,10.941189999999999
58,2016-02-28,193500.0,3479.0,9.585360000000001
59,2016-02-29,195000.0,5282.0,56.92889
60,2016-03-01,195000.0,5282.0,12.18666
61,2016-03-02,191000.0,5634.0,57.76446
62,2016-03-03,192500.0,4818.0,56.86583
63,2016-03-04,192000.0,6849.0,49.61374
64,2016-03-05,192000.0,6849.0,11.50874
65,2016-03-06,192000.0,6849.0,10.23175
66,2016-03-07,188500.0,5332.0,57.05501999999999
67,2016-03-08,190000.0,5452.0,58.78921
68,2016-03-09,191500.0,2594.0,64.63818
69,2016-03-10,189000.0,3743.0,62.35219
70,2016-03-11,191000.0,6074.0,56.26675
71,2016-03-12,191000.0,6074.0,9.380410000000001
72,2016-03-13,191000.0,6074.0,9.83761
73,2016-03-14,192000.0,4201.0,55.841080000000005
74,2016-03-15,190500.0,4438.0,50.1813
75,2016-03-16,190500.0,10158.0,58.53696
76,2016-03-17,191000.0,5730.0,62.541380000000004
77,2016-03-18,192500.0,5600.0,88.30206
78,2016-03-19,192500.0,5600.0,16.53791
79,2016-03-20,192500.0,5600.0,15.48163
80,2016-03-21,191000.0,3968.0,81.91707
81,2016-03-22,194000.0,5982.0,72.03216
82,2016-03-23,194000.0,6673.0,60.90178
83,2016-03-24,194000.0,6142.0,62.2576
84,2016-03-25,194500.0,3494.0,57.44915
85,2016-03-26,194500.0,3494.0,11.03578
86,2016-03-27,194500.0,3494.0,9.396180000000001
87,2016-03-28,190000.0,2050.0,54.264540000000004
88,2016-03-29,189500.0,5198.0,57.48068000000001
89,2016-03-30,190000.0,4842.0,65.61563000000001
90,2016-03-31,188000.0,7955.0,58.253190000000004
91,2016-04-01,184000.0,12141.0,54.564080000000004
92,2016-04-02,184000.0,12141.0,8.98628
93,2016-04-03,184000.0,12141.0,8.93898
94,2016-04-04,183000.0,5955.0,65.48951
95,2016-04-05,184000.0,6664.0,63.61343000000001
96,2016-04-06,187000.0,3886.0,62.88822
97,2016-04-07,188500.0,2055.0,69.27320999999999
98,2016-04-08,188500.0,6757.0,56.53476
99,2016-04-09,188500.0,6757.0,9.427710000000001
100,2016-04-10,188500.0,6757.0,8.45026
101,2016-04-11,183500.0,4963.0,64.84313
102,2016-04-12,179000.0,12615.0,56.72394
103,2016-04-13,179000.0,12615.0,11.2565
104,2016-04-14,178500.0,9757.0,71.37001
105,2016-04-15,173500.0,34314.0,76.13116
106,2016-04-16,173500.0,34314.0,11.41415
107,2016-04-17,173500.0,34314.0,10.05833
108,2016-04-18,171500.0,11485.0,78.1176
109,2016-04-19,173000.0,12921.0,69.55699
110,2016-04-20,175500.0,14328.0,65.59987
111,2016-04-21,181500.0,21518.0,67.50748
112,2016-04-22,182000.0,5981.0,60.03468
113,2016-04-23,182000.0,5981.0,9.41195
