period,ratio
2016-01-01,1.00566
2016-01-02,0.69482
2016-01-03,0.63997
2016-01-04,6.25342
2016-01-05,6.5277
2016-01-06,6.63741
2016-01-07,6.07057
2016-01-08,5.99744
2016-01-09,0.80453
2016-01-10,0.65825
2016-01-11,5.39403
2016-01-12,6.34485
2016-01-13,5.90601
2016-01-14,5.22947
2016-01-15,5.04662
2016-01-16,0.98738
2016-01-17,0.91424
2016-01-18,4.73578
2016-01-19,5.44889
2016-01-20,6.94825
2016-01-21,5.85116
2016-01-22,5.52203
2016-01-23,1.06052
2016-01-24,0.69482
2016-01-25,6.05229
2016-01-26,5.1929
2016-01-27,4.73578
2016-01-28,5.5586
2016-01-29,6.10714
2016-01-30,1.35308
2016-01-31,1.09709
2016-02-01,6.05229
2016-02-02,5.94258
2016-02-03,5.30261
2016-02-04,6.50941
2016-02-05,6.54598
2016-02-06,0.96909
2016-02-07,0.82281
2016-02-08,0.87767
2016-02-09,0.63997
2016-02-10,1.11537
2016-02-11,5.83287
2016-02-12,6.63741
2016-02-13,1.09709
2016-02-14,0.89595
2016-02-15,6.69226
2016-02-16,7.20424
2016-02-17,7.95392
2016-02-18,6.36313
2016-02-19,5.94258
2016-02-20,0.96909
2016-02-21,0.85938
2016-02-22,5.77802
2016-02-23,5.96087
2016-02-24,5.44889
2016-02-25,4.97348
2016-02-26,4.93691
2016-02-27,1.04223
2016-02-28,0.58511
2016-02-29,5.66831
2016-03-01,1.35308
2016-03-02,6.32656
2016-03-03,5.15633
2016-03-04,5.35746
2016-03-05,1.15194
2016-03-06,0.65825
2016-03-07,5.13805
2016-03-08,6.01572
2016-03-09,5.33918
2016-03-10,5.44889
2016-03-11,6.12543
2016-03-12,0.96909
2016-03-13,0.71311
2016-03-14,7.07624
2016-03-15,7.18595
2016-03-16,5.74145
2016-03-17,6.89339
2016-03-18,5.13805
2016-03-19,0.87767
2016-03-20,0.91424
2016-03-21,4.44322
2016-03-22,5.65002
2016-03-23,5.08319
2016-03-24,5.21119
2016-03-25,6.28999
2016-03-26,0.80453
2016-03-27,0.95081
2016-03-28,6.162
2016-03-29,7.0031
2016-03-30,5.97915
2016-03-31,5.72316
2016-04-01,6.65569
2016-04-02,1.37136
2016-04-03,1.27994
2016-04-04,5.65002
2016-04-05,5.11976
2016-04-06,6.05229
2016-04-07,4.97348
2016-04-08,4.90034
2016-04-09,0.82281
2016-04-10,0.63997
2016-04-11,4.33351
2016-04-12,4.46151
2016-04-13,0.65825
2016-04-14,5.10148
2016-04-15,5.13805
2016-04-16,0.93252
2016-04-17,0.73139
2016-04-18,4.71749
2016-04-19,5.15633
2016-04-20,5.54031
2016-04-21,5.7963
2016-04-22,8.63046
2016-04-23,2.10276
2016-04-24,1.49936
2016-04-25,15.50557
2016-04-26,9.36185
2016-04-27,5.85116
2016-04-28,5.22947
2016-04-29,4.53464
2016-04-30,1.02395
2016-05-01,0.95081
2016-05-02,4.93691
2016-05-03,7.6065
2016-05-04,4.79063
2016-05-05,1.06052
2016-05-06,1.66392
2016-05-07,0.93252
2016-05-08,0.80453
2016-05-09,4.55293
2016-05-10,4.53464
2016-05-11,5.61345
2016-05-12,5.37575
2016-05-13,5.48546
2016-05-14,1.02395
2016-05-15,0.93252
2016-05-16,4.62607
2016-05-17,4.93691
2016-05-18,4.27866
2016-05-19,3.69354
2016-05-20,4.29694
2016-05-21,0.65825
2016-05-22,0.78624
2016-05-23,3.78496
2016-05-24,3.91296
2016-05-25,4.40665
2016-05-26,4.20552
2016-05-27,4.40665
2016-05-28,1.11537
2016-05-29,0.95081
2016-05-30,4.13238
2016-05-31,4.60778
2016-06-01,4.53464
2016-06-02,3.49241
2016-06-03,3.51069
2016-06-04,0.8411
2016-06-05,0.89595
2016-06-06,0.69482
2016-06-07,5.65002
2016-06-08,6.38142
2016-06-09,6.162
2016-06-10,4.40665
2016-06-11,1.15194
2016-06-12,1.31651
2016-06-13,4.40665
2016-06-14,3.83982
2016-06-15,4.24209
2016-06-16,3.6204
2016-06-17,3.51069
2016-06-18,0.93252
2016-06-19,0.69482
2016-06-20,4.07752
2016-06-21,3.49241
2016-06-22,3.45584
2016-06-23,3.36441
2016-06-24,5.5586
2016-06-25,0.96909
2016-06-26,1.40793
2016-06-27,9.32528
2016-06-28,6.63741
2016-06-29,5.4306
2016-06-30,4.93691
2016-07-01,4.86377
2016-07-02,1.24337
2016-07-03,1.66392
2016-07-04,4.29694
