날짜,종가,전일비,시가,고가,저가,거래량
2016-01-01,2570.0,0.0,2600.0,2835.0,2530.0,308092.0
2016-01-02,2570.0,0.0,2600.0,2835.0,2530.0,308092.0
2016-01-03,2570.0,0.0,2600.0,2835.0,2530.0,308092.0
2016-01-04,2565.0,5.0,2600.0,2600.0,2545.0,74111.0
2016-01-05,2545.0,20.0,2515.0,2565.0,2515.0,82403.0
2016-01-06,2560.0,15.0,2540.0,2575.0,2495.0,124900.0
2016-01-07,2480.0,80.0,2570.0,2570.0,2420.0,186994.0
2016-01-08,2425.0,55.0,2450.0,2460.0,2375.0,165487.0
2016-01-09,2425.0,55.0,2450.0,2460.0,2375.0,165487.0
2016-01-10,2425.0,55.0,2450.0,2460.0,2375.0,165487.0
2016-01-11,2420.0,5.0,2395.0,2435.0,2370.0,65717.0
2016-01-12,2345.0,75.0,2420.0,2435.0,2345.0,154936.0
2016-01-13,2375.0,30.0,2390.0,2390.0,2345.0,96099.0
2016-01-14,2320.0,55.0,2350.0,2355.0,2275.0,102393.0
2016-01-15,2315.0,5.0,2360.0,2360.0,2290.0,134000.0
2016-01-16,2315.0,5.0,2360.0,2360.0,2290.0,134000.0
2016-01-17,2315.0,5.0,2360.0,2360.0,2290.0,134000.0
2016-01-18,2300.0,15.0,2280.0,2320.0,2270.0,76523.0
2016-01-19,2290.0,10.0,2275.0,2305.0,2250.0,100057.0
2016-01-20,2210.0,80.0,2310.0,2375.0,2160.0,109361.0
2016-01-21,2250.0,40.0,2220.0,2290.0,2215.0,96329.0
2016-01-22,2305.0,55.0,2250.0,2320.0,2250.0,70363.0
2016-01-23,2305.0,55.0,2250.0,2320.0,2250.0,70363.0
2016-01-24,2305.0,55.0,2250.0,2320.0,2250.0,70363.0
2016-01-25,2355.0,50.0,2370.0,2370.0,2320.0,40340.0
2016-01-26,2350.0,5.0,2360.0,2360.0,2300.0,12580.0
2016-01-27,2340.0,10.0,2380.0,2430.0,2300.0,78897.0
2016-01-28,2375.0,35.0,2360.0,2385.0,2300.0,41252.0
2016-01-29,2400.0,25.0,2355.0,2465.0,2350.0,47365.0
2016-01-30,2400.0,25.0,2355.0,2465.0,2350.0,47365.0
2016-01-31,2400.0,25.0,2355.0,2465.0,2350.0,47365.0
2016-02-01,2400.0,0.0,2425.0,2425.0,2360.0,30713.0
2016-02-02,2360.0,40.0,2370.0,2400.0,2330.0,73341.0
2016-02-03,2315.0,45.0,2380.0,2380.0,2305.0,31225.0
2016-02-04,2340.0,25.0,2350.0,2355.0,2320.0,60964.0
2016-02-05,2340.0,0.0,2365.0,2365.0,2320.0,36947.0
2016-02-06,2340.0,0.0,2365.0,2365.0,2320.0,36947.0
2016-02-07,2340.0,0.0,2365.0,2365.0,2320.0,36947.0
2016-02-08,2340.0,0.0,2365.0,2365.0,2320.0,36947.0
2016-02-09,2340.0,0.0,2365.0,2365.0,2320.0,36947.0
2016-02-10,2340.0,0.0,2365.0,2365.0,2320.0,36947.0
2016-02-11,2280.0,60.0,2300.0,2325.0,2230.0,102613.0
2016-02-12,2215.0,65.0,2300.0,2315.0,2145.0,127873.0
2016-02-13,2215.0,65.0,2300.0,2315.0,2145.0,127873.0
2016-02-14,2215.0,65.0,2300.0,2315.0,2145.0,127873.0
2016-02-15,2285.0,70.0,2225.0,2290.0,2215.0,93341.0
2016-02-16,2325.0,40.0,2300.0,2350.0,2300.0,69348.0
2016-02-17,2310.0,15.0,2325.0,2345.0,2290.0,77559.0
2016-02-18,2340.0,30.0,2330.0,2365.0,2310.0,69292.0
2016-02-19,2470.0,130.0,2340.0,2485.0,2320.0,224978.0
2016-02-20,2470.0,130.0,2340.0,2485.0,2320.0,224978.0
2016-02-21,2470.0,130.0,2340.0,2485.0,2320.0,224978.0
