period,price,volume
2015-12-30,4470,164282
2016-01-04,4300,187139
2016-01-05,4390,188787
2016-01-06,4445,283419
2016-01-07,4480,383023
2016-01-08,4415,269600
2016-01-11,4375,216222
2016-01-12,4330,161064
2016-01-13,4365,121071
2016-01-14,4270,267850
2016-01-15,4180,253553
2016-01-18,4130,127133
2016-01-19,4070,187959
2016-01-20,3875,324922
2016-01-21,3910,215278
2016-01-22,3910,187839
2016-01-25,4000,190072
2016-01-26,3915,107828
2016-01-27,3960,187023
2016-01-28,3990,83660
2016-01-29,4050,357318
2016-02-01,4105,130283
2016-02-02,4105,124143
2016-02-03,4580,11858084
2016-02-04,4380,1420245
2016-02-05,4220,850545
2016-02-11,4090,527487
2016-02-12,3920,573691
2016-02-15,4005,431045
2016-02-16,4050,406200
2016-02-17,4150,735946
2016-02-18,4165,292601
2016-02-19,4260,258111
2016-02-22,4265,268483
2016-02-23,4150,266852
2016-02-24,4155,219514
2016-02-25,4080,280672
2016-02-26,4085,118760
2016-02-29,4095,131799
2016-03-02,4220,287602
2016-03-03,4225,157142
2016-03-04,4240,168580
2016-03-07,4320,348475
2016-03-08,4230,321673
2016-03-09,4320,173968
2016-03-10,4300,145340
2016-03-11,4420,791173
2016-03-14,4440,252974
2016-03-15,4320,278163
2016-03-16,4295,186421
2016-03-17,4335,168168
2016-03-18,4365,185178
2016-03-21,4315,175912
2016-03-22,4305,134606
2016-03-23,4290,172348
2016-03-24,4435,7182800
2016-03-25,4325,824957
2016-03-28,4280,340977
2016-03-29,4255,326290
2016-03-30,4330,278169
2016-03-31,4325,189098
2016-04-01,4280,160288
2016-04-04,4300,165995
2016-04-05,4395,290539
2016-04-06,4465,280829
2016-04-07,4400,276084
2016-04-08,4510,480527
2016-04-11,4475,824919
2016-04-12,4470,236240
2016-04-14,4450,247080
2016-04-15,4585,723800
2016-04-18,4540,386197
2016-04-19,4625,385761
2016-04-20,4675,541151
2016-04-21,4625,284217
2016-04-22,4655,242607
2016-04-25,4570,223575
2016-04-26,4545,206684
2016-04-27,4620,383224
2016-04-28,4560,158471
2016-04-29,4520,258567
2016-05-02,4350,218681
2016-05-03,4430,132725
2016-05-04,4375,92766
2016-05-09,4305,129713
2016-05-10,4525,697592
2016-05-11,4640,657630
2016-05-12,4725,1035192
2016-05-13,4860,5671671
2016-05-16,4900,659158
2016-05-17,4860,872187
2016-05-18,5100,1907972
2016-05-19,5080,1453240
2016-05-20,5150,707071
2016-05-23,4970,677672
2016-05-24,4855,813903
2016-05-25,5410,3479990
2016-05-26,5240,1011800
2016-05-27,5220,1865973
2016-05-30,5190,1174276
2016-05-31,5110,616970
2016-06-01,5130,419383
2016-06-02,5020,391648
2016-06-03,5230,785960
2016-06-07,5270,485590
2016-06-08,5060,513083
2016-06-09,4925,476023
2016-06-10,4890,344978
2016-06-13,4785,277530
2016-06-14,4790,249723
2016-06-15,4845,226103
2016-06-16,4620,393765
2016-06-17,4615,240189
2016-06-20,4760,263669
2016-06-21,4720,161768
2016-06-22,4670,180108
2016-06-23,4585,213322
2016-06-24,4220,754485
2016-06-27,4330,297854
2016-06-28,4370,190122
2016-06-29,4435,197766
2016-06-30,4430,124131
2016-07-01,4530,161372
2016-07-04,4540,112814
2016-07-05,4510,117730
2016-07-06,4480,141090
2016-07-07,4535,150457
2016-07-08,4485,163969
2016-07-11,4580,175595
2016-07-12,4575,152560
2016-07-13,4580,159788
2016-07-14,4700,263844
2016-07-15,4670,140773
2016-07-18,4830,398904
2016-07-19,4750,238182
2016-07-20,4685,140662
2016-07-21,4710,189292
2016-07-22,4770,2726956
2016-07-25,4720,282828
2016-07-26,4620,327672
2016-07-27,4570,212276
2016-07-28,4630,173705
2016-07-29,4625,102151
2016-08-01,4585,170569
2016-08-02,4645,261753
2016-08-03,4540,211276
2016-08-04,4565,81044
2016-08-05,4565,189694
2016-08-08,4450,279127
2016-08-09,4450,164422
2016-08-10,4595,197204
2016-08-11,4610,175005
2016-08-12,4765,377105
2016-08-16,4755,259667
2016-08-17,4740,213557
2016-08-18,4850,616092
2016-08-19,4785,228723
2016-08-22,4640,200229
2016-08-23,4670,101705
2016-08-24,4680,139282
2016-08-25,4780,416880
2016-08-26,4735,180383
2016-08-29,4595,200534
2016-08-30,4795,240194
2016-08-31,4800,374063
2016-09-01,4730,158740
2016-09-02,4955,830399
2016-09-05,4930,362840
2016-09-06,4970,1311772
2016-09-07,4825,473256
2016-09-08,4880,382828
2016-09-09,4950,342777
2016-09-12,4880,242324
2016-09-13,5090,795471
2016-09-19,5170,461898
2016-09-20,5030,436810
2016-09-21,5070,250281
2016-09-22,5030,239320
2016-09-23,4985,189886
2016-09-26,5060,268468
2016-09-27,5010,204137
2016-09-28,4950,210928
2016-09-29,4870,299782
2016-09-30,4795,214690
2016-10-04,4795,110791
2016-10-05,4895,203375
2016-10-06,4980,297625
2016-10-07,4860,5875175
2016-10-10,5210,1237160
2016-10-11,5110,907915
2016-10-12,5410,6760250
2016-10-13,5010,2245467
2016-10-14,5050,1077795
2016-10-17,4880,693364
2016-10-18,4795,723330
2016-10-19,4735,440377
2016-10-20,4585,486838
2016-10-21,4585,298782
2016-10-24,4495,398239
2016-10-25,4455,400733
2016-10-26,4335,474280
2016-10-27,4420,321348
2016-10-28,4445,172189
2016-10-31,4335,200667
2016-11-01,4350,118558
2016-11-02,4160,276330
2016-11-03,4205,221185
2016-11-04,4210,59937
2016-11-07,4285,115785
2016-11-08,4380,283858
2016-11-09,4080,469454
2016-11-10,4245,214590
2016-11-11,4230,134263
2016-11-14,4255,157299
2016-11-15,4290,115034
2016-11-16,4420,218038
2016-11-17,4425,123238
2016-11-18,4415,114845
2016-11-21,4410,241509
2016-11-22,4355,172299
2016-11-23,4250,239614
2016-11-24,4190,194966
2016-11-25,4180,162728
2016-11-28,4150,74049
2016-11-29,4150,158651
2016-11-30,4165,80343
2016-12-01,4130,78732
2016-12-02,4130,113195
2016-12-05,4150,829222
2016-12-06,4340,964664
2016-12-07,4230,365932
2016-12-08,4325,431175
2016-12-09,4205,410158
2016-12-12,4250,232854
2016-12-13,4385,523572
2016-12-14,4400,157985
2016-12-15,4430,189386
2016-12-16,4385,136954
