종목코드,기업명
000250,3S
000440,APS홀딩스
001000,AP시스템
001540,AP위성
001810,CJ ENM
001840,CJ프레시웨이
002230,CMG제약
002290,CNH
002680,CS
002800,CSA 코스믹
003100,DB금융스팩6호
003310,DB금융스팩7호
003380,DMS
003800,DSC인베스트먼트
004590,EDGC
004650,EG
004780,EMW
005160,GH신소재
005290,GMR 머티리얼즈
005670,GRT
005710,GST
005860,GS홈쇼핑
005990,GV
006050,HB테크놀러지
006140,HRS
006580,IBKS제10호스팩
006620,IBKS제5호스팩
006730,IBKS제6호스팩
006910,IBKS제7호스팩
006920,ISC
007330,ITX엠투엠
007370,JTC
007390,JW신약
007530,JYP Ent.
007680,KBI메탈
007720,KB오토시스
007770,KCC건설
007820,KCI
008290,KD
008370,KG ETS
008470,KG모빌리언스
008800,KG이니시스
008830,KH바텍
009300,KJ프리텍
009520,KMH
009620,KMH하이텍
009730,KNN
009780,KPX생명과학
010170,KTH
010240,KT서브마린
010280,MP그룹
010470,MP한강
011040,NEW
011080,NE능률
011320,NHN벅스
011370,NHN한국사이버결제
011560,NICE평가정보
012340,PN풍년
012620,RFHIC
012700,S&K폴리텍
012790,SBI인베스트먼트
012860,SBI핀테크솔루션즈
013030,SBS콘텐츠허브
013120,SCI평가정보
013310,SDN
013720,SFA반도체
013810,SG
013990,SG&G
014100,SGA
014190,SGA솔루션즈
014200,SK4호스팩
014470,SKC 솔믹스
014570,SKC코오롱PI
014620,SK머티리얼즈
014940,SK바이오랜드
014970,SM C&C
015710,SM Life Design
015750,SNK
016100,SV인베스트먼트
016250,THE E&M
016600,THE MIDONG
016670,TJ미디어
016790,TPC
016920,TS인베스트먼트
017000,UCI
017250,WI
017480,W홀딩컴퍼니
017510,YTN
017650,YW
017680,iMBC
017890,가비아
018000,가온미디어
018120,감마누
018290,강스템바이오텍
018310,갤럭시아컴즈
018620,게임빌
018680,경남스틸
018700,경남제약
019010,경동제약
019210,경창산업
019540,고려시멘트
019550,고려신용정보
019570,고려제약
019590,고영
019660,골드퍼시픽
019770,골든센츄리
019990,골프존
020180,골프존뉴딘홀딩스
020400,광림
020710,광진실업
021040,광진윈텍
021080,교보7호스팩
021320,교보8호스팩
021650,구영테크
021880,국보디자인
022100,국순당
022220,국영지앤엠
023160,국일신동
023410,국일제지
023440,그리티
023460,그린플러스
023600,글로벌에스엠
023760,글로벌텍스프리
023770,글로본
023790,금강철강
023890,금화피에스시
023900,기가레인
023910,기산텔레콤
024060,까스텔바쟉
024120,나노
024740,나노브릭
024800,나노스
024810,나노신소재
024830,나노엔텍
024840,나노캠텍
024850,나라엠앤디
024880,나무가
024910,나무기술
024940,나스미디어
024950,나우아이비캐피탈
025320,나이벡
025440,나이스디앤비
025550,나이스정보통신
025770,나인컴플렉스
025870,남화산업
025880,남화토건
025900,내츄럴엔도텍
025950,네오셈
025980,네오오토
026040,네오위즈
026150,네오위즈홀딩스
026910,네오크레마
027040,네오티스
027050,네오팜
027360,네오펙트
027580,네이블커뮤니케이션즈
027710,네이처셀
027830,네패스
028040,넥스턴
028080,넥스트BT
028150,넥스트아이
028300,넥슨지티
029480,넵튠
029960,넷게임즈
030190,노랑풍선
030270,노바렉스
030350,노바텍
030520,녹십자랩셀
030960,녹십자셀
031310,녹십자엠에스
031330,녹십자웰빙
031390,녹원씨엔아이
031510,농우바이오
031860,누리텔레콤
031980,누리플랜
032080,뉴로스
032190,뉴보텍
032280,뉴인텍
032500,뉴지랩
032540,뉴트리
032580,뉴파워프라즈마
032620,뉴프라이드
032680,뉴프렉스
032750,다나와
032790,다날
032800,다믈멀티미디어
032820,다산네트웍스
032850,다우데이타
032860,다원시스
032940,대동금속
032960,대동기어
032980,대동스틸
033050,대륙제관
033100,대림제지
033110,대명코퍼레이션
033130,대모
033160,대보마그네틱
033170,대봉엘에스
033200,대성미생물
033230,대성엘텍
033290,대성창투
033310,대성파인텍
033320,대신밸런스제6호스팩
033340,대신밸런스제7호스팩
033430,대신정보통신
033500,대아티아이
033540,대양전기공업
033560,대양제지
033600,대원
033640,대원미디어
033790,대원산업
033830,대유
034230,대유에이피
034810,대정화금
034940,대주산업
034950,대주전자재료
035080,대창솔루션
035200,대창스틸
035290,대한과학
035460,대한광통신
035480,대한뉴팜
035600,대한약품
035610,대호피앤씨
035620,대화제약
035760,더블유에프엠
035810,덕산네오룩스
035890,덕산테코피아
035900,덕산하이메탈
036000,덕신하우징
036010,덕우전자
036030,데브시스터즈
036090,데이타솔루션
036120,데일리블록체인
036170,데코앤이
036180,덱스터
036190,도이치모터스
036200,동구바이오제약
036260,동국S&C
036420,동국산업
036480,동국알앤에스
036490,동국제약
036540,동방선기
036560,동부스팩5호
036620,동성화인텍
036630,동신건설
036640,동아엘텍
036670,동아화성
036690,동양에스텍
036710,동양이엔피
036800,동양파일
036810,동양피엔에프
036830,동우팜투테이블
036890,동운아나텍
036930,동원개발
037030,동일금속
037070,동일기연
037230,동일철강
037330,동진쎄미켐
037350,동화기업
037370,두올산업
037400,듀오백
037440,드래곤플라이
037460,드림시큐리티
037760,드림어스컴퍼니
037950,디딤
038010,디바이스이엔지
038060,디스플레이텍
038070,디아이티
038110,디알젬
038160,디알텍
038290,디앤씨미디어
038340,디에스케이
038390,디에스티
038460,디에이치피코리아
038500,디에이테크놀로지
038530,디에이피
038540,디엔에이링크
038620,디엔에프
038680,디엠티
038870,디오
038880,디오스텍
038950,디이엔티
039010,디자인
039020,디젠스
039030,디지아이
039200,디지캡
039230,디지탈옵틱
039240,디지털대성
039290,디지틀조선
039310,디케이디앤아이
039340,디케이락
039420,디케이앤디
039440,디케이티
039560,디티앤씨
039610,딜리
039740,라닉스
039830,라온시큐어
039840,라이브플렉스
039860,라이온켐텍
039980,라이트론
040160,램테크놀러지
040300,랩지노믹스
040350,러셀
040420,럭슬
040610,레고켐바이오
040910,레드로버
041020,레드캡투어
041140,레이
041190,레이언스
041440,로고스바이오
041460,로보로보
041510,로보스타
041520,로보티즈
041590,로스웰
041830,로지시스
041910,로체시스템즈
041920,루멘스
041930,루미마이크로
041960,루트로닉
042000,룽투코리아
042040,리노공업
042110,리노스
042370,리더스 기술투자
042420,리더스코스메틱
042500,리드
042510,리드코프
042520,리켐
042600,린드먼아시아
042940,링네트
043090,링크제니시스
043100,마니커에프앤지
043150,마이크로디지탈
043200,마이크로컨텍솔
043220,마이크로텍
043260,마이크로프랜드
043290,마크로젠
043340,매일유업
043360,매일홀딩스
043370,매직마이크로
043590,매커스
043610,맥스로텍
043650,머큐리
043710,멀티캠퍼스
043910,메가스터디
044060,메가스터디교육
044180,메가엠디
044340,메디아나
044480,메디톡스
044490,메디포스트
044780,메디프론
044960,메이슨캐피탈
045060,메지온
045100,메카로
045300,메타바이오메드
045340,멕아이씨에스
045390,멜파스
045510,명성티엔에스
045520,모다
045660,모다이노칩
045890,모두투어
045970,모바일리더
046070,모바일어플라이언스
046110,모베이스
046120,모비스
046140,모아텍
046210,모트렉스
046310,모헨즈
046390,무림SP
046440,미래SCI
046890,미래나노텍
046940,미래생명자원
046970,미래에셋대우스팩1호
047080,미래에셋대우스팩2호
047310,미래에셋대우스팩3호
047560,미래에셋벤처투자
047770,미래컴퍼니
047820,미래테크놀로지
047920,미스터블루
048260,미코
048410,미투온
048430,민앤지
048470,바디텍메드
048530,바른손
048550,바른손이앤에이
048770,바른전자
048830,바른테크놀로지
048870,바이넥스
048910,바이오니아
049070,바이오로그디바이스
049080,바이오리더스
049120,바이오빌
049180,바이오솔루션
049430,바이오스마트
049470,바이오제네틱스
049480,바이오톡스텍
049520,바이온
049550,바텍
049630,배럴
049720,백금T&A
049830,버추얼텍
049950,버킷스튜디오
049960,베뉴지
050090,베셀
050110,베스파
050120,보광산업
050320,보라티알
050540,보령메디앙스
050760,보성파워텍
050860,본느
050890,부방
050960,부스타
051160,뷰웍스
051360,브레인콘텐츠
051370,브리지텍
051380,브이원텍
051390,블러썸엠앤씨
051490,블루콤
051500,비덴트
051780,비디아이
051980,비씨월드제약
052020,비아트론
052190,비에이치
052220,비에이치아이
052260,비엠티
052300,비즈니스온
052330,비츠로셀
052400,비츠로시스
052420,비츠로테크
052460,비트컴퓨터
052600,비피도
052670,빅솔론
052710,빅텍
052770,빛샘전자
052790,사람인에이치알
052860,삼강엠앤티
052900,삼기오토모티브
053030,삼륭물산
053050,삼목에스폼
053060,삼보모터스
053110,삼보산업
053160,삼보판지
053260,삼본전자
053270,삼성머스트스팩3호
053280,삼성스팩2호
053290,삼아제약
053300,삼양옵틱스
053350,삼영엠텍
053450,삼영이엔씨
053580,삼원테크
053590,삼일
053610,삼일기업공사
053620,삼지전자
053660,삼진
053700,삼진엘앤디
053800,삼천당제약
053950,삼천리자전거
053980,삼표시멘트
054040,삼현철강
054050,삼화네트웍스
054090,상보
054180,상상인
054210,상상인이안1호스팩
054220,상상인이안제2호스팩
054300,상상인인더스트리
054340,상신이디피
054410,상신전자
054450,상아프론테크
054540,상지카일룸
054620,새로닉스
054630,샘코
054670,서린바이오
054780,서부T&D
054800,서산
