종목코드,기업명
000020,AJ네트웍스
000040,AJ렌터카
000050,AK홀딩스
000060,BGF
000070,BGF리테일
000080,BNK금융지주
000100,BYC
000120,CJ
000140,CJ CGV
000150,CJ대한통운
000180,CJ씨푸드
000210,CJ제일제당
000220,CJ헬로
000230,CS홀딩스
000240,DB
000270,DB금융투자
000300,DB손해보험
000320,DB하이텍
000370,DGB금융지주
000390,DRB동일
000400,DSR
000430,DSR제강
000480,E1
000490,F&F
000500,GKL
000520,GS
000540,GS건설
000590,GS글로벌
000640,GS리테일
000650,HDC
000660,HDC아이콘트롤스
000670,HDC현대EP
000680,HDC현대산업개발
000700,HSD엔진
000720,JB금융지주
000760,JW생명과학
000810,JW중외제약
000850,JW홀딩스
000860,KB금융
000880,KC그린홀딩스
000890,KC코트렐
000910,KEC
000950,KG케미칼
000970,KISCO홀딩스
000990,KPX케미칼
001020,KPX홀딩스
001040,KR모터스
001060,KSS해운
001070,KTB투자증권
001080,KTcs
001120,KTis
001130,LF
001140,LG
001200,LG디스플레이
001210,LG상사
001230,LG생활건강
001250,LG유플러스
001260,LG이노텍
001270,LG전자
001290,LG하우시스
001340,LG화학
001360,LIG넥스원
001380,LS
001390,LS네트웍스
001420,LS산전
001430,LS전선아시아
001440,MH에탄올
001450,NAVER
001460,NH투자증권
001470,NICE
001500,NI스틸
001510,OCI
001520,S&TC
001530,S&T모티브
001550,S&T중공업
001560,S&T홀딩스
001570,S-Oil
001620,SBS
001630,SBS미디어홀딩스
001680,SG세계물산
001720,SG충방
001740,SH에너지화학
001750,SIMPAC
001770,SK
001780,SKC
001790,SK가스
001800,SK네트웍스
001820,SK디스커버리
001880,SK디앤디
001940,SK이노베이션
002020,SK증권
002030,SK케미칼
002070,SK텔레콤
002100,SK하이닉스
002140,SPC삼립
002150,STX
002170,STX엔진
002200,STX중공업
002210,TCC스틸
002220,WISCOM
002240,YG PLUS
002270,가온전선
002300,강남제비스코
002310,강원랜드
002320,갤럭시아에스엠
002350,경농
002360,경동나비엔
002380,경동도시가스
002390,경동인베스트
002410,경방
002420,경보제약
002450,경인양행
002460,경인전자
002600,계룡건설산업
002620,계양전기
002630,고려개발
002690,고려산업
002700,고려아연
002710,고려제강
002720,광동제약
002760,광명전기
002780,광전자
002790,광주신세계
002810,교보증권
002820,국도화학
002840,국동
002870,국제약품
002880,그린케미칼
002900,극동유화
002920,금강공업
002960,금비
002990,금양
003000,금호산업
003010,금호석유화학
003030,금호에이치티
003060,금호전기
003070,금호타이어
003080,기신정기
003090,기아자동차
003120,기업은행
003160,까뮤이앤씨
003200,깨끗한나라
003220,나노메딕스
003230,남광토건
003240,남선알미늄
003280,남성
003300,남양유업
003350,남영비비안
003410,남해화학
003460,넥센
003470,넥센타이어
003480,넥스트사이언스
003490,넷마블
003520,노루페인트
003530,노루홀딩스
003540,녹십자
003550,녹십자홀딩스
003560,농심
003570,농심홀딩스
003580,다스코
003610,다우기술
003620,대교
003650,대구백화점
003670,대덕전자
003680,대동공업
003690,대동전자
003720,대림비앤코
003780,대림산업
003830,대림씨엔에스
003850,대림통상
003920,대상
003960,대상홀딩스
004000,대성산업
004020,대성에너지
004060,대성홀딩스
004080,대신증권
004090,대양금속
004100,대영포장
004140,대우건설
004150,대우부품
004170,대우조선해양
004200,대웅
004250,대웅제약
004270,대원강업
004310,대원전선
004360,대원제약
004370,대원화성
004380,대유에이텍
004410,대유플러스
004430,대창
004440,대창단조
004450,대한방직
004490,대한유화
004540,대한전선
004560,대한제강
004690,대한제당
004700,대한제분
004710,대한항공
004720,대한해운
004770,대한화섬
004800,대현
004830,대호에이엘
004840,더블유게임즈
004870,더존비즈온
004890,덕성
004910,덕양산업
004920,덴티움
004960,도화엔지니어링
004970,동국제강
004980,동남합성
004990,동방
005010,동방아그로
005030,동부건설
005070,동부제철
005090,동북아12호선박투자
005110,동북아13호선박투자
005180,동서
005190,동성제약
005250,동성코퍼레이션
005300,동성화학
005320,동아쏘시오홀딩스
005360,동아에스티
005380,동아지질
005390,동아타이어
005420,동양
005430,동양고속
005440,동양네트웍스
005450,동양물산기업
005490,동양생명
005500,동양철관
005610,동양피스톤
005680,동원F&B
005690,동원금속
005720,동원산업
005740,동원수산
005750,동원시스템즈
005800,동일고무벨트
005810,동일산업
005820,동일제강
005830,동화약품
005850,두산
005870,두산건설
005880,두산밥캣
005930,두산인프라코어
005940,두산중공업
005950,두올
005960,드림텍
006040,디씨엠
006060,디아이
006090,디아이동일
006110,디아이씨
006120,디와이
006200,디와이파워
006220,디티알오토모티브
006260,디피씨
006280,락앤락
006340,롯데관광개발
006360,롯데손해보험
006370,롯데쇼핑
006380,롯데정밀화학
006390,롯데정보통신
006400,롯데제과
006490,롯데지주
006570,롯데칠성음료
006650,롯데케미칼
006660,롯데푸드
006740,롯데하이마트
006800,마니커
006840,만도
006880,만호제강
006890,맥쿼리인프라
006980,맵스리얼티1
007070,메디파트너생명공학
007110,메리츠금융지주
007120,메리츠종금증권
007160,메리츠화재
007210,메타랩스
007280,명문제약
007310,모나리자
007340,모나미
007460,모두투어리츠
007540,모토닉
007570,무림P&P
007590,무림페이퍼
007610,무학
007630,문배철강
007660,미래산업
007690,미래아이앤지
007700,미래에셋대우
007810,미래에셋생명
007860,미원상사
007980,미원에스씨
008040,미원홀딩스
008060,미원화학
008110,미창석유공업
008250,바다로19호
008260,방림
008350,백광산업
008420,백광소재
008490,백산
008500,범양건영
008560,베트남개발1
008600,벽산
008700,보락
008730,보령제약
008770,보해양조
008870,부광약품
008930,부국증권
008970,부국철강
009070,부산도시가스
009140,부산산업
009150,부산주공
009160,비상교육
009180,비티원
009190,빙그레
009200,사조대림
009240,사조동아원
009270,사조산업
009290,사조씨푸드
009310,사조오양
009320,삼광글라스
009410,삼부토건
009420,삼성SDI
009440,삼성공조
009450,삼성물산
009460,삼성바이오로직스
009470,삼성생명
009540,삼성에스디에스
009580,삼성엔지니어링
009680,삼성전기
009770,삼성전자
009810,삼성제약
009830,삼성중공업
009970,삼성증권
010040,삼성출판사
010050,삼성카드
010060,삼성화재해상보험
010100,삼아알미늄
010120,삼양사
010130,삼양식품
010140,삼양통상
010400,삼양패키징
010420,삼양홀딩스
010580,삼영무역
010600,삼영전자공업
010620,삼영화학공업
010640,삼원강재
010660,삼익THK
010690,삼익악기
010770,삼일제약
010780,삼정펄프
010820,삼진제약
010950,삼천리
010960,삼호
011000,삼호개발
011070,삼화왕관
011090,삼화전기
011150,삼화전자공업
011160,삼화콘덴서공업
011170,삼화페인트공업
011200,상상인증권
011210,상신브레이크
011230,새론오토모티브
011280,샘표
011300,샘표식품
011330,서연
011390,서연이화
011420,서울도시가스
011500,서울식품공업
011690,서원
011700,서흥
011760,선도전기
011780,선진
011790,선창산업
011810,성문전자
011930,성보화학
012030,성신양회
012160,성안
012170,성창기업지주
012200,세기상사
012280,세방
012320,세방전지
012330,세아베스틸
012450,세아제강
012510,세아제강지주
012600,세아특수강
012610,세아홀딩스
012630,세우글로벌
012690,세원셀론텍
012750,세원정공
012800,세이브존I&C
013000,세종공업
013360,세진중공업
013520,세하
013570,세화아이엠씨
013580,셀트리온
013700,송원산업
013870,수산중공업
014130,시디즈
014160,신대양제지
014280,신도리코
014440,신라교역
014530,신성이엔지
014580,신성통상
014680,신세계
014710,신세계I&C
014790,신세계건설
014820,신세계인터내셔날
014830,신세계푸드
014910,신송홀딩스
014990,신영와코루
015020,신영증권
015230,신원
015260,신일산업
