,종목코드,기업명
0,95570,AJ네트웍스
1,68400,AJ렌터카
2,6840,AK홀딩스
3,27410,BGF
4,282330,BGF리테일
5,138930,BNK금융지주
6,1460,BYC
7,1040,CJ
8,79160,CJ CGV
9,120,CJ대한통운
10,11150,CJ씨푸드
11,97950,CJ제일제당
12,37560,CJ헬로
13,590,CS홀딩스
14,12030,DB
15,16610,DB금융투자
16,5830,DB손해보험
17,990,DB하이텍
18,139130,DGB금융지주
19,4840,DRB동일
20,155660,DSR
21,69730,DSR제강
22,17940,E1
23,7700,F&F
24,114090,GKL
25,78930,GS
26,6360,GS건설
27,1250,GS글로벌
28,7070,GS리테일
29,12630,HDC
30,39570,HDC아이콘트롤스
31,89470,HDC현대EP
32,294870,HDC현대산업개발
33,82740,HSD엔진
34,175330,JB금융지주
35,234080,JW생명과학
36,1060,JW중외제약
37,96760,JW홀딩스
38,105560,KB금융
39,9440,KC그린홀딩스
40,119650,KC코트렐
41,92220,KEC
42,1390,KG케미칼
43,1940,KISCO홀딩스
44,25000,KPX케미칼
45,92230,KPX홀딩스
46,40,KR모터스
47,44450,KSS해운
48,30210,KTB투자증권
49,58850,KTcs
50,58860,KTis
51,93050,LF
52,3550,LG
53,34220,LG디스플레이
54,1120,LG상사
55,51900,LG생활건강
56,32640,LG유플러스
57,11070,LG이노텍
58,66570,LG전자
59,108670,LG하우시스
60,51910,LG화학
61,79550,LIG넥스원
62,6260,LS
63,680,LS네트웍스
64,10120,LS산전
65,229640,LS전선아시아
66,23150,MH에탄올
67,35420,NAVER
68,5940,NH투자증권
69,34310,NICE
70,8260,NI스틸
71,10060,OCI
72,100840,S&TC
73,64960,S&T모티브
74,3570,S&T중공업
75,36530,S&T홀딩스
76,10950,S-Oil
77,34120,SBS
78,101060,SBS미디어홀딩스
79,4060,SG세계물산
80,1380,SG충방
81,2360,SH에너지화학
82,9160,SIMPAC
83,34730,SK
84,11790,SKC
85,18670,SK가스
86,1740,SK네트웍스
87,6120,SK디스커버리
88,210980,SK디앤디
89,96770,SK이노베이션
90,1510,SK증권
91,285130,SK케미칼
92,17670,SK텔레콤
93,660,SK하이닉스
94,5610,SPC삼립
95,11810,STX
96,77970,STX엔진
97,71970,STX중공업
98,2710,TCC스틸
99,24070,WISCOM
100,37270,YG PLUS
101,500,가온전선
102,860,강남제비스코
103,35250,강원랜드
104,11420,갤럭시아에스엠
105,2100,경농
106,9450,경동나비엔
107,267290,경동도시가스
108,12320,경동인베스트
109,50,경방
110,214390,경보제약
111,12610,경인양행
112,9140,경인전자
113,13580,계룡건설산업
114,12200,계양전기
115,4200,고려개발
116,2140,고려산업
117,10130,고려아연
118,2240,고려제강
119,9290,광동제약
120,17040,광명전기
121,17900,광전자
122,37710,광주신세계
123,30610,교보증권
124,7690,국도화학
125,5320,국동
126,2720,국제약품
127,83420,그린케미칼
128,14530,극동유화
129,14280,금강공업
130,8870,금비
131,1570,금양
132,2990,금호산업
133,11780,금호석유화학
135,214330,금호에이치티
136,1210,금호전기
137,73240,금호타이어
138,92440,기신정기
139,270,기아자동차
140,24110,기업은행
141,13700,까뮤이앤씨
142,4540,깨끗한나라
143,74610,나노메딕스
144,1260,남광토건
145,8350,남선알미늄
146,4270,남성
147,3920,남양유업
148,2070,남영비비안
149,25860,남해화학
150,5720,넥센
151,2350,넥센타이어
152,3580,넥스트사이언스
153,251270,넷마블
154,90350,노루페인트
155,320,노루홀딩스
156,6280,녹십자
157,5250,녹십자홀딩스
158,4370,농심
159,72710,농심홀딩스
160,58730,다스코
161,23590,다우기술
162,19680,대교
163,6370,대구백화점
164,8060,대덕전자
165,490,대동공업
166,8110,대동전자
167,5750,대림비앤코
168,210,대림산업
169,4440,대림씨엔에스
170,6570,대림통상
171,1680,대상
172,84690,대상홀딩스
173,128820,대성산업
174,117580,대성에너지
175,16710,대성홀딩스
176,3540,대신증권
177,9190,대양금속
178,14160,대영포장
179,47040,대우건설
180,9320,대우부품
181,42660,대우조선해양
182,3090,대웅
183,69620,대웅제약
184,430,대원강업
185,6340,대원전선
186,3220,대원제약
187,24890,대원화성
188,2880,대유에이텍
189,300,대유플러스
190,12800,대창
191,15230,대창단조
192,1070,대한방직
193,6650,대한유화
194,1440,대한전선
195,84010,대한제강
196,1790,대한제당
197,1130,대한제분
198,3490,대한항공
199,5880,대한해운
200,3830,대한화섬
201,16090,대현
202,69460,대호에이엘
203,192080,더블유게임즈
204,12510,더존비즈온
205,4830,덕성
206,24900,덕양산업
207,145720,덴티움
208,2150,도화엔지니어링
209,1230,동국제강
210,23450,동남합성
211,4140,동방
212,7590,동방아그로
213,5960,동부건설
214,16380,동부제철
215,83370,동북아12호선박투자
216,83380,동북아13호선박투자
217,26960,동서
218,2210,동성제약
219,102260,동성코퍼레이션
220,5190,동성화학
221,640,동아쏘시오홀딩스
222,170900,동아에스티
223,28100,동아지질
224,282690,동아타이어
225,1520,동양
226,84670,동양고속
227,30790,동양네트웍스
228,2900,동양물산기업
229,82640,동양생명
230,8970,동양철관
231,92780,동양피스톤
232,49770,동원F&B
233,18500,동원금속
234,6040,동원산업
235,30720,동원수산
236,14820,동원시스템즈
237,163560,동일고무벨트
238,4890,동일산업
239,2690,동일제강
240,20,동화약품
241,150,두산
242,11160,두산건설
243,241560,두산밥캣
244,42670,두산인프라코어
245,34020,두산중공업
246,16740,두올
247,192650,드림텍
248,24090,디씨엠
249,3160,디아이
250,1530,디아이동일
251,92200,디아이씨
252,13570,디와이
253,210540,디와이파워
254,7340,디티알오토모티브
255,26890,디피씨
256,115390,락앤락
257,32350,롯데관광개발
258,400,롯데손해보험
259,23530,롯데쇼핑
260,4000,롯데정밀화학
261,286940,롯데정보통신
262,280360,롯데제과
263,4990,롯데지주
264,5300,롯데칠성음료
265,11170,롯데케미칼
266,2270,롯데푸드
267,71840,롯데하이마트
268,27740,마니커
269,204320,만도
270,1080,만호제강
271,88980,맥쿼리인프라
272,94800,맵스리얼티1
273,15540,메디파트너생명공학
274,138040,메리츠금융지주
275,8560,메리츠종금증권
276,60,메리츠화재
277,90370,메타랩스
278,17180,명문제약
279,12690,모나리자
280,5360,모나미
281,204210,모두투어리츠
282,9680,모토닉
283,9580,무림P&P
284,9200,무림페이퍼
285,33920,무학
286,8420,문배철강
287,25560,미래산업
288,7120,미래아이앤지
289,6800,미래에셋대우
290,85620,미래에셋생명
291,2840,미원상사
292,268280,미원에스씨
293,107590,미원홀딩스
294,134380,미원화학
295,3650,미창석유공업
296,155900,바다로19호
297,3610,방림
298,1340,백광산업
299,14580,백광소재
300,35150,백산
301,2410,범양건영
302,96300,베트남개발1
303,7210,벽산
304,2760,보락
305,3850,보령제약
306,890,보해양조
307,3000,부광약품
308,1270,부국증권
309,26940,부국철강
310,15350,부산도시가스
311,11390,부산산업
312,5030,부산주공
313,100220,비상교육
315,101140,비티원
316,5180,빙그레
317,3960,사조대림
318,8040,사조동아원
319,7160,사조산업
320,14710,사조씨푸드
321,6090,사조오양
322,5090,삼광글라스
323,1470,삼부토건
324,6400,삼성SDI
325,6660,삼성공조
326,28260,삼성물산
327,207940,삼성바이오로직스
328,32830,삼성생명
329,18260,삼성에스디에스
330,28050,삼성엔지니어링
331,9150,삼성전기
332,5930,삼성전자
333,1360,삼성제약
334,10140,삼성중공업
335,16360,삼성증권
336,68290,삼성출판사
337,29780,삼성카드
338,810,삼성화재해상보험
339,6110,삼아알미늄
340,145990,삼양사
341,3230,삼양식품
342,2170,삼양통상
343,272550,삼양패키징
344,70,삼양홀딩스
345,2810,삼영무역
346,5680,삼영전자공업
347,3720,삼영화학공업
348,23000,삼원강재
349,4380,삼익THK
350,2450,삼익악기
351,520,삼일제약
352,9770,삼정펄프
353,5500,삼진제약
354,4690,삼천리
355,1880,삼호
356,10960,삼호개발
357,4450,삼화왕관
358,9470,삼화전기
359,11230,삼화전자공업
360,1820,삼화콘덴서공업
361,390,삼화페인트공업
362,1290,상상인증권
363,41650,상신브레이크
364,75180,새론오토모티브
365,7540,샘표
366,248170,샘표식품
367,7860,서연
368,200880,서연이화
369,17390,서울도시가스
370,4410,서울식품공업
371,21050,서원
372,8490,서흥
373,7610,선도전기
374,136490,선진
375,2820,선창산업
376,14910,성문전자
377,3080,성보화학
378,4980,성신양회
379,11300,성안
380,180,성창기업지주
381,2420,세기상사
382,4360,세방
383,4490,세방전지
384,1430,세아베스틸
385,306200,세아제강
386,3030,세아제강지주
387,19440,세아특수강
388,58650,세아홀딩스
389,13000,세우글로벌
390,91090,세원셀론텍
391,21820,세원정공
392,67830,세이브존I&C
393,33530,세종공업
394,75580,세진중공업
395,27970,세하
396,145210,세화아이엠씨
397,68270,셀트리온
398,4430,송원산업
399,17550,수산중공업
400,134790,시디즈
401,16590,신대양제지
402,29530,신도리코
403,4970,신라교역
404,11930,신성이엔지
405,5390,신성통상
406,4170,신세계
407,35510,신세계I&C
408,34300,신세계건설
409,31430,신세계인터내셔날
410,31440,신세계푸드
411,6880,신송홀딩스
412,5800,신영와코루
413,1720,신영증권
414,9270,신원
415,2700,신일산업
416,19170,신풍제약
417,2870,신풍제지
418,5450,신한
419,293940,신한알파리츠
420,55550,신한지주
421,1770,신화실업
422,4080,신흥
423,102280,쌍방울
424,3410,쌍용양회공업
425,3620,쌍용자동차
426,4770,써니전자
427,4920,씨아이테크
428,112610,씨에스윈드
429,8700,아남전자
430,90430,아모레퍼시픽
431,2790,아모레퍼시픽그룹
432,2030,아세아
433,183190,아세아시멘트
434,2310,아세아제지
436,20560,아시아나항공
437,122900,아이마켓코리아
438,10780,아이에스동서
439,3560,아이에이치큐
440,33660,아주캐피탈
441,1780,알루코
442,18250,애경산업
443,161000,애경유화
444,11090,에넥스
445,5850,에스엘
446,12750,에스원
447,123700,에스제이엠
448,25530,에스제이엠홀딩스
449,23960,에쓰씨엔지니어링
450,298690,에어부산
451,140910,에이리츠
452,78520,에이블씨엔씨
453,15260,에이엔피
454,7460,에이프로젠 KIC
455,3060,에이프로젠제약
456,36570,엔씨소프트
457,138250,엔에스쇼핑
458,181710,엔에이치엔
459,85310,엔케이
460,9810,엔케이물산
461,4250,엔피씨
462,900140,엘브이엠씨
463,14440,영보화학
464,111770,영원무역
465,9970,영원무역홀딩스
466,3520,영진약품
467,670,영풍
468,6740,영풍제지
469,12280,영화금속
470,12160,영흥철강
471,15360,예스코홀딩스
472,7310,오뚜기
473,79440,오렌지라이프
474,2630,오리엔트바이오
475,271560,오리온
476,1800,오리온홀딩스
477,70960,용평리조트
478,316140,우리금융지주
479,4720,우리들제약
480,118000,우리들휴브레인
481,10050,우리종금
482,6980,우성사료
483,17370,우신시스템
484,105840,우진
485,10400,우진아이엔에스
486,49800,우진플라임
487,16880,웅진
488,95720,웅진씽크빅
489,103130,웅진에너지
490,21240,웅진코웨이
491,5820,원림
492,10600,웰바이오텍
493,8600,윌비스
494,33270,유나이티드
495,14830,유니드
496,910,유니온
497,47400,유니온머티리얼
498,11330,유니켐
499,77500,유니퀘스트
500,2920,유성기업
501,700,유수홀딩스
502,3470,유안타증권
503,11690,유양디앤유
504,72130,유엔젤
505,220,유유제약
506,1200,유진증권
507,100,유한양행
508,3460,유화증권
509,8730,율촌화학
510,8250,이건산업
511,25820,이구산업
512,214320,이노션
513,88260,이리츠코크렙
514,139480,이마트
515,7660,이수페타시스
516,5950,이수화학
517,15020,이스타코
518,93230,이아이디
519,102460,이연제약
520,84680,이월드
521,760,이화산업
522,14990,인디에프
523,6490,인스코비
524,23800,인지컨트롤스
525,34590,인천도시가스
526,129260,인터지스
527,23810,인팩
528,249420,일동제약
529,230,일동홀딩스
530,13360,일성건설
531,3120,일성신약
532,3200,일신방직
533,7110,일신석재
534,7570,일양약품
535,8500,일정실업
536,81000,일진다이아
537,20760,일진디스플
538,20150,일진머티리얼즈
539,103590,일진전기
540,15860,일진홀딩스
541,226320,잇츠한불
542,33240,자화전자
543,950,전방
544,194370,제이에스코퍼레이션
545,25620,제이준코스메틱
546,30000,제일기획
547,271980,제일약품
548,1560,제일연마
549,2620,제일파마홀딩스
550,6220,제주은행
551,89590,제주항공
552,4910,조광페인트
