,종목코드,기업명
0,60310,3S
1,54620,APS홀딩스
2,265520,AP시스템
3,211270,AP위성
4,35760,CJ ENM
5,51500,CJ프레시웨이
6,58820,CMG제약
7,23460,CNH
8,65770,CS
9,83660,CSA 코스믹
10,306620,DB금융스팩6호
11,322780,DB금융스팩7호
12,68790,DMS
13,241520,DSC인베스트먼트
14,245620,EDGC
15,37370,EG
16,79190,EMW
17,130500,GH신소재
18,32860,GMR 머티리얼즈
19,900290,GRT
20,83450,GST
21,28150,GS홈쇼핑
22,45890,GV
23,78150,HB테크놀러지
24,36640,HRS
25,299170,IBKS제10호스팩
26,254120,IBKS제5호스팩
27,264850,IBKS제6호스팩
28,276920,IBKS제7호스팩
29,95340,ISC
30,99520,ITX엠투엠
31,950170,JTC
32,67290,JW신약
33,35900,JYP Ent.
34,24840,KBI메탈
35,24120,KB오토시스
36,21320,KCC건설
37,36670,KCI
38,44180,KD
39,151860,KG ETS
40,46440,KG모빌리언스
41,35600,KG이니시스
42,60720,KH바텍
43,83470,KJ프리텍
44,122450,KMH
45,52900,KMH하이텍
46,58400,KNN
47,114450,KPX생명과학
48,36030,KTH
49,60370,KT서브마린
50,65150,MP그룹
51,219550,MP한강
52,160550,NEW
53,53290,NE능률
54,104200,NHN벅스
55,60250,NHN한국사이버결제
56,30190,NICE평가정보
57,24940,PN풍년
58,218410,RFHIC
59,91340,S&K폴리텍
60,19550,SBI인베스트먼트
61,950110,SBI핀테크솔루션즈
62,46140,SBS콘텐츠허브
63,36120,SCI평가정보
64,99220,SDN
65,36540,SFA반도체
66,255220,SG
67,40610,SG&G
68,49470,SGA
69,184230,SGA솔루션즈
70,307070,SK4호스팩
71,57500,SKC 솔믹스
72,178920,SKC코오롱PI
73,36490,SK머티리얼즈
74,52260,SK바이오랜드
75,48550,SM C&C
76,63440,SM Life Design
77,950180,SNK
78,289080,SV인베스트먼트
79,89230,THE E&M
80,161570,THE MIDONG
81,32540,TJ미디어
82,48770,TPC
83,246690,TS인베스트먼트
84,38340,UCI
85,73570,WI
86,52300,W홀딩컴퍼니
87,40300,YTN
88,51390,YW
89,52220,iMBC
90,79940,가비아
91,78890,가온미디어
92,192410,감마누
93,217730,강스템바이오텍
94,94480,갤럭시아컴즈
95,63080,게임빌
96,39240,경남스틸
97,53950,경남제약
98,11040,경동제약
99,24910,경창산업
100,198440,고려시멘트
101,49720,고려신용정보
102,14570,고려제약
103,98460,고영
104,38530,골드퍼시픽
105,900280,골든센츄리
106,215000,골프존
107,121440,골프존뉴딘홀딩스
108,14200,광림
109,26910,광진실업
110,90150,광진윈텍
111,267320,교보7호스팩
112,307280,교보8호스팩
113,53270,구영테크
114,66620,국보디자인
115,43650,국순당
116,6050,국영지앤엠
117,60480,국일신동
118,78130,국일제지
119,204020,그리티
120,186230,그린플러스
121,900070,글로벌에스엠
122,204620,글로벌텍스프리
123,19660,글로본
124,53260,금강철강
125,36190,금화피에스시
126,49080,기가레인
127,35460,기산텔레콤
128,308100,까스텔바쟉
129,187790,나노
130,286750,나노브릭
131,151910,나노스
132,121600,나노신소재
133,39860,나노엔텍
134,91970,나노캠텍
135,51490,나라엠앤디
136,190510,나무가
137,242040,나무기술
138,89600,나스미디어
139,293580,나우아이비캐피탈
140,138610,나이벡
141,130580,나이스디앤비
142,36800,나이스정보통신
143,82660,나인컴플렉스
144,111710,남화산업
145,91590,남화토건
146,168330,내츄럴엔도텍
147,253590,네오셈
148,212560,네오오토
149,95660,네오위즈
150,42420,네오위즈홀딩스
151,311390,네오크레마
152,85910,네오티스
153,92730,네오팜
154,290660,네오펙트
155,153460,네이블커뮤니케이션즈
156,7390,네이처셀
157,33640,네패스
158,89140,넥스턴
159,65170,넥스트BT
160,137940,넥스트아이
161,41140,넥슨지티
162,217270,넵튠
163,225570,넷게임즈
164,104620,노랑풍선
165,194700,노바렉스
166,285490,노바텍
167,144510,녹십자랩셀
168,31390,녹십자셀
169,142280,녹십자엠에스
170,234690,녹십자웰빙
171,65560,녹원씨엔아이
172,54050,농우바이오
173,40160,누리텔레콤
174,69140,누리플랜
175,126870,뉴로스
176,60260,뉴보텍
177,12340,뉴인텍
178,214870,뉴지랩
179,270870,뉴트리
180,144960,뉴파워프라즈마
181,900100,뉴프라이드
182,85670,뉴프렉스
183,119860,다나와
184,64260,다날
185,93640,다믈멀티미디어
186,39560,다산네트웍스
187,32190,다우데이타
188,68240,다원시스
189,20400,대동금속
190,8830,대동기어
191,48470,대동스틸
192,4780,대륙제관
193,17650,대림제지
194,7720,대명코퍼레이션
195,317850,대모
196,290670,대보마그네틱
197,78140,대봉엘에스
198,36480,대성미생물
199,25440,대성엘텍
200,27830,대성창투
201,104040,대성파인텍
202,307750,대신밸런스제6호스팩
203,332290,대신밸런스제7호스팩
204,20180,대신정보통신
205,45390,대아티아이
206,108380,대양전기공업
207,6580,대양제지
208,7680,대원
209,48910,대원미디어
210,5710,대원산업
211,290380,대유
212,290120,대유에이피
213,120240,대정화금
214,3310,대주산업
215,78600,대주전자재료
216,96350,대창솔루션
217,140520,대창스틸
218,131220,대한과학
219,10170,대한광통신
220,54670,대한뉴팜
221,23910,대한약품
222,21040,대호피앤씨
223,67080,대화제약
224,35290,더블유에프엠
225,213420,덕산네오룩스
226,317330,덕산테코피아
227,77360,덕산하이메탈
228,90410,덕신하우징
229,263600,덕우전자
230,194480,데브시스터즈
231,263800,데이타솔루션
232,139050,데일리블록체인
233,17680,데코앤이
234,206560,덱스터
235,67990,도이치모터스
236,6620,동구바이오제약
237,100130,동국S&C
238,5160,동국산업
239,75970,동국알앤에스
240,86450,동국제약
241,99410,동방선기
242,281740,동부스팩5호
243,33500,동성화인텍
244,25950,동신건설
245,88130,동아엘텍
246,41930,동아화성
247,60380,동양에스텍
248,79960,동양이엔피
249,228340,동양파일
250,104460,동양피엔에프
251,88910,동우팜투테이블
252,94170,동운아나텍
253,13120,동원개발
254,109860,동일금속
255,32960,동일기연
256,23790,동일철강
257,5290,동진쎄미켐
258,25900,동화기업
259,78590,두올산업
