period,ratio
2016-01-01,0.22682
2016-01-02,0.34779
2016-01-03,0.34779
2016-01-04,1.91289
2016-01-05,2.00362
2016-01-06,1.72387
2016-01-07,1.82972
2016-01-08,1.73143
2016-01-09,0.60486
2016-01-10,0.58218
2016-01-11,1.89777
2016-01-12,1.83729
2016-01-13,1.85241
2016-01-14,1.45168
2016-01-15,1.50461
2016-01-16,0.5973
2016-01-17,0.32511
2016-01-18,1.7768
2016-01-19,1.59534
2016-01-20,1.51217
2016-01-21,1.73899
2016-01-22,1.36851
2016-01-23,0.32511
2016-01-24,0.34023
2016-01-25,1.58022
2016-01-26,1.70119
2016-01-27,1.91289
2016-01-28,1.58778
2016-01-29,1.51217
2016-01-30,0.44609
2016-01-31,0.48389
2016-02-01,1.67095
2016-02-02,1.90533
2016-02-03,1.7768
2016-02-04,1.66339
2016-02-05,1.37607
2016-02-06,0.45365
2016-02-07,0.22682
2016-02-08,0.10585
2016-02-09,0.29487
2016-02-10,0.40072
2016-02-11,1.79948
2016-02-12,1.73899
2016-02-13,0.49901
2016-02-14,0.32511
2016-02-15,1.97338
2016-02-16,2.1246
2016-02-17,1.9885
2016-02-18,2.15484
2016-02-19,1.71631
2016-02-20,0.47633
2016-02-21,0.4234
2016-02-22,2.1624
2016-02-23,2.16996
2016-02-24,1.78436
2016-02-25,1.82972
2016-02-26,2.25313
2016-02-27,0.78632
2016-02-28,0.60486
2016-02-29,1.80704
2016-03-01,0.9073
2016-03-02,3.14531
2016-03-03,3.04702
2016-03-04,2.57825
2016-03-05,0.72584
2016-03-06,0.60486
2016-03-07,2.57825
2016-03-08,2.26069
2016-03-09,2.1246
2016-03-10,2.15484
2016-03-11,1.93558
2016-03-12,0.46121
2016-03-13,0.34023
2016-03-14,1.84485
2016-03-15,2.13216
2016-03-16,1.8146
2016-03-17,1.92802
2016-03-18,1.92045
2016-03-19,0.47633
2016-03-20,0.51413
2016-03-21,2.35898
2016-03-22,2.54801
2016-03-23,2.65386
2016-03-24,2.63118
2016-03-25,1.85241
2016-03-26,0.52926
2016-03-27,0.32511
2016-03-28,2.26069
2016-03-29,2.56313
2016-03-30,2.10192
2016-03-31,2.21533
2016-04-01,2.01119
2016-04-02,0.56706
2016-04-03,0.34023
2016-04-04,2.14728
2016-04-05,1.82972
2016-04-06,2.03387
2016-04-07,2.10192
2016-04-08,1.79948
2016-04-09,0.34779
2016-04-10,0.34023
2016-04-11,2.04899
2016-04-12,1.93558
2016-04-13,0.7334
2016-04-14,2.18508
2016-04-15,1.92045
2016-04-16,1.18705
2016-04-17,1.47436
2016-04-18,23.28746
2016-04-19,10.78935
2016-04-20,9.12596
2016-04-21,7.60623
2016-04-22,4.83139
2016-04-23,1.0812
2016-04-24,1.80704
2016-04-25,8.66475
2016-04-26,6.87282
2016-04-27,6.23771
2016-04-28,4.2492
2016-04-29,3.3797
2016-04-30,1.15681
2016-05-01,0.7712
2016-05-02,3.18312
2016-05-03,3.36458
2016-05-04,2.62362
2016-05-05,0.65023
2016-05-06,0.77876
2016-05-07,0.46877
2016-05-08,0.54438
2016-05-09,3.05458
2016-05-10,2.77483
2016-05-11,2.90337
2016-05-12,2.66898
2016-05-13,2.36655
2016-05-14,0.5595
2016-05-15,0.49145
2016-05-16,3.34946
2016-05-17,4.2114
2016-05-18,3.67458
2016-05-19,2.82776
2016-05-20,2.54045
2016-05-21,0.76364
2016-05-22,0.66535
2016-05-23,4.08286
2016-05-24,3.33434
2016-05-25,2.95629
2016-05-26,3.25117
2016-05-27,3.31921
2016-05-28,0.7334
2016-05-29,0.58218
2016-05-30,3.25117
2016-05-31,3.01678
2016-06-01,3.03946
2016-06-02,5.30016
2016-06-03,3.53092
2016-06-04,1.17949
2016-06-05,0.76364
2016-06-06,1.12656
2016-06-07,3.36458
2016-06-08,3.79555
2016-06-09,4.72554
2016-06-10,3.69726
2016-06-11,0.86949
2016-06-12,0.99803
2016-06-13,3.93921
2016-06-14,4.84651
2016-06-15,4.27188
2016-06-16,3.58384
2016-06-17,3.168
2016-06-18,0.9451
2016-06-19,0.84681
2016-06-20,6.29063
2016-06-21,21.7148
2016-06-22,6.93331
2016-06-23,4.55164
2016-06-24,4.83895
2016-06-25,0.75608
2016-06-26,0.85437
2016-06-27,3.95433
2016-06-28,3.24361
2016-06-29,3.22092
2016-06-30,2.88825
2016-07-01,2.72191
2016-07-02,0.89218
2016-07-03,0.83925
2016-07-04,2.78995
2016-07-05,3.21336
2016-07-06,5.9504
2016-07-07,3.59897
2016-07-08,2.79752
2016-07-09,1.17193
2016-07-10,0.7334
2016-07-11,3.13019
2016-07-12,3.50068
2016-07-13,3.41751
2016-07-14,3.42507
2016-07-15,2.94873
2016-07-16,0.92242
2016-07-17,1.01315
2016-07-18,3.80311
2016-07-19,2.56313
2016-07-20,2.98654
2016-07-21,3.11507
2016-07-22,2.78239
2016-07-23,1.39119
2016-07-24,1.28534
2016-07-25,3.00166
2016-07-26,3.04702
2016-07-27,2.63118
2016-07-28,2.81264
2016-07-29,2.39679
2016-07-30,0.96779
2016-07-31,0.80901
2016-08-01,2.67654
2016-08-02,4.47603
2016-08-03,3.56116
2016-08-04,3.19824
2016-08-05,2.96385
2016-08-06,0.80145
